seed_id,dataset,family,query,compound,entity,entity_type,template
disorder_02300,disorder,pair_core,2C-I Fibromyalgia treatment outcome,2C-I,Fibromyalgia,indication,{compound} {entity} treatment outcome
disorder_02301,disorder,pair_core,2C-T-2 Treatment-resistant depression clinical trial,2C-T-2,Treatment-resistant depression,indication,{compound} {entity} clinical trial
disorder_02302,disorder,pair_core,2C-T-2 Treatment-resistant depression randomized placebo,2C-T-2,Treatment-resistant depression,indication,{compound} {entity} randomized placebo
disorder_02303,disorder,pair_core,2C-T-2 Treatment-resistant depression treatment outcome,2C-T-2,Treatment-resistant depression,indication,{compound} {entity} treatment outcome
disorder_02304,disorder,pair_core,2C-T-2 Major depressive disorder clinical trial,2C-T-2,Major depressive disorder,indication,{compound} {entity} clinical trial
disorder_02305,disorder,pair_core,2C-T-2 Major depressive disorder randomized placebo,2C-T-2,Major depressive disorder,indication,{compound} {entity} randomized placebo
disorder_02306,disorder,pair_core,2C-T-2 Major depressive disorder treatment outcome,2C-T-2,Major depressive disorder,indication,{compound} {entity} treatment outcome
disorder_02307,disorder,pair_core,2C-T-2 Bipolar depression clinical trial,2C-T-2,Bipolar depression,indication,{compound} {entity} clinical trial
disorder_02308,disorder,pair_core,2C-T-2 Bipolar depression randomized placebo,2C-T-2,Bipolar depression,indication,{compound} {entity} randomized placebo
disorder_02309,disorder,pair_core,2C-T-2 Bipolar depression treatment outcome,2C-T-2,Bipolar depression,indication,{compound} {entity} treatment outcome
disorder_02310,disorder,pair_core,2C-T-2 Persistent depressive disorder clinical trial,2C-T-2,Persistent depressive disorder,indication,{compound} {entity} clinical trial
disorder_02311,disorder,pair_core,2C-T-2 Persistent depressive disorder randomized placebo,2C-T-2,Persistent depressive disorder,indication,{compound} {entity} randomized placebo
disorder_02312,disorder,pair_core,2C-T-2 Persistent depressive disorder treatment outcome,2C-T-2,Persistent depressive disorder,indication,{compound} {entity} treatment outcome
disorder_02313,disorder,pair_core,2C-T-2 Post-traumatic stress disorder clinical trial,2C-T-2,Post-traumatic stress disorder,indication,{compound} {entity} clinical trial
disorder_02314,disorder,pair_core,2C-T-2 Post-traumatic stress disorder randomized placebo,2C-T-2,Post-traumatic stress disorder,indication,{compound} {entity} randomized placebo
disorder_02315,disorder,pair_core,2C-T-2 Post-traumatic stress disorder treatment outcome,2C-T-2,Post-traumatic stress disorder,indication,{compound} {entity} treatment outcome
disorder_02316,disorder,pair_core,2C-T-2 Complex post-traumatic stress disorder clinical trial,2C-T-2,Complex post-traumatic stress disorder,indication,{compound} {entity} clinical trial
disorder_02317,disorder,pair_core,2C-T-2 Complex post-traumatic stress disorder randomized placebo,2C-T-2,Complex post-traumatic stress disorder,indication,{compound} {entity} randomized placebo
disorder_02318,disorder,pair_core,2C-T-2 Complex post-traumatic stress disorder treatment outcome,2C-T-2,Complex post-traumatic stress disorder,indication,{compound} {entity} treatment outcome
disorder_02319,disorder,pair_core,2C-T-2 Alcohol use disorder clinical trial,2C-T-2,Alcohol use disorder,indication,{compound} {entity} clinical trial
disorder_02320,disorder,pair_core,2C-T-2 Alcohol use disorder randomized placebo,2C-T-2,Alcohol use disorder,indication,{compound} {entity} randomized placebo
disorder_02321,disorder,pair_core,2C-T-2 Alcohol use disorder treatment outcome,2C-T-2,Alcohol use disorder,indication,{compound} {entity} treatment outcome
disorder_02322,disorder,pair_core,2C-T-2 Tobacco use disorder clinical trial,2C-T-2,Tobacco use disorder,indication,{compound} {entity} clinical trial
disorder_02323,disorder,pair_core,2C-T-2 Tobacco use disorder randomized placebo,2C-T-2,Tobacco use disorder,indication,{compound} {entity} randomized placebo
disorder_02324,disorder,pair_core,2C-T-2 Tobacco use disorder treatment outcome,2C-T-2,Tobacco use disorder,indication,{compound} {entity} treatment outcome
disorder_02325,disorder,pair_core,2C-T-2 Nicotine dependence clinical trial,2C-T-2,Nicotine dependence,indication,{compound} {entity} clinical trial
disorder_02326,disorder,pair_core,2C-T-2 Nicotine dependence randomized placebo,2C-T-2,Nicotine dependence,indication,{compound} {entity} randomized placebo
disorder_02327,disorder,pair_core,2C-T-2 Nicotine dependence treatment outcome,2C-T-2,Nicotine dependence,indication,{compound} {entity} treatment outcome
disorder_02328,disorder,pair_core,2C-T-2 Opioid use disorder clinical trial,2C-T-2,Opioid use disorder,indication,{compound} {entity} clinical trial
disorder_02329,disorder,pair_core,2C-T-2 Opioid use disorder randomized placebo,2C-T-2,Opioid use disorder,indication,{compound} {entity} randomized placebo
disorder_02330,disorder,pair_core,2C-T-2 Opioid use disorder treatment outcome,2C-T-2,Opioid use disorder,indication,{compound} {entity} treatment outcome
disorder_02331,disorder,pair_core,2C-T-2 Cannabis use disorder clinical trial,2C-T-2,Cannabis use disorder,indication,{compound} {entity} clinical trial
disorder_02332,disorder,pair_core,2C-T-2 Cannabis use disorder randomized placebo,2C-T-2,Cannabis use disorder,indication,{compound} {entity} randomized placebo
disorder_02333,disorder,pair_core,2C-T-2 Cannabis use disorder treatment outcome,2C-T-2,Cannabis use disorder,indication,{compound} {entity} treatment outcome
disorder_02334,disorder,pair_core,2C-T-2 Cocaine use disorder clinical trial,2C-T-2,Cocaine use disorder,indication,{compound} {entity} clinical trial
disorder_02335,disorder,pair_core,2C-T-2 Cocaine use disorder randomized placebo,2C-T-2,Cocaine use disorder,indication,{compound} {entity} randomized placebo
disorder_02336,disorder,pair_core,2C-T-2 Cocaine use disorder treatment outcome,2C-T-2,Cocaine use disorder,indication,{compound} {entity} treatment outcome
disorder_02337,disorder,pair_core,2C-T-2 Methamphetamine use disorder clinical trial,2C-T-2,Methamphetamine use disorder,indication,{compound} {entity} clinical trial
disorder_02338,disorder,pair_core,2C-T-2 Methamphetamine use disorder randomized placebo,2C-T-2,Methamphetamine use disorder,indication,{compound} {entity} randomized placebo
disorder_02339,disorder,pair_core,2C-T-2 Methamphetamine use disorder treatment outcome,2C-T-2,Methamphetamine use disorder,indication,{compound} {entity} treatment outcome
disorder_02340,disorder,pair_core,2C-T-2 Stimulant use disorder clinical trial,2C-T-2,Stimulant use disorder,indication,{compound} {entity} clinical trial
disorder_02341,disorder,pair_core,2C-T-2 Stimulant use disorder randomized placebo,2C-T-2,Stimulant use disorder,indication,{compound} {entity} randomized placebo
disorder_02342,disorder,pair_core,2C-T-2 Stimulant use disorder treatment outcome,2C-T-2,Stimulant use disorder,indication,{compound} {entity} treatment outcome
disorder_02343,disorder,pair_core,2C-T-2 Substance use disorder clinical trial,2C-T-2,Substance use disorder,indication,{compound} {entity} clinical trial
disorder_02344,disorder,pair_core,2C-T-2 Substance use disorder randomized placebo,2C-T-2,Substance use disorder,indication,{compound} {entity} randomized placebo
disorder_02345,disorder,pair_core,2C-T-2 Substance use disorder treatment outcome,2C-T-2,Substance use disorder,indication,{compound} {entity} treatment outcome
disorder_02346,disorder,pair_core,2C-T-2 Generalized anxiety disorder clinical trial,2C-T-2,Generalized anxiety disorder,indication,{compound} {entity} clinical trial
disorder_02347,disorder,pair_core,2C-T-2 Generalized anxiety disorder randomized placebo,2C-T-2,Generalized anxiety disorder,indication,{compound} {entity} randomized placebo
disorder_02348,disorder,pair_core,2C-T-2 Generalized anxiety disorder treatment outcome,2C-T-2,Generalized anxiety disorder,indication,{compound} {entity} treatment outcome
disorder_02349,disorder,pair_core,2C-T-2 Social anxiety disorder clinical trial,2C-T-2,Social anxiety disorder,indication,{compound} {entity} clinical trial
disorder_02350,disorder,pair_core,2C-T-2 Social anxiety disorder randomized placebo,2C-T-2,Social anxiety disorder,indication,{compound} {entity} randomized placebo
disorder_02351,disorder,pair_core,2C-T-2 Social anxiety disorder treatment outcome,2C-T-2,Social anxiety disorder,indication,{compound} {entity} treatment outcome
disorder_02352,disorder,pair_core,2C-T-2 Distress associated with life-threatening disease clinical trial,2C-T-2,Distress associated with life-threatening disease,indication,{compound} {entity} clinical trial
disorder_02353,disorder,pair_core,2C-T-2 Distress associated with life-threatening disease randomized placebo,2C-T-2,Distress associated with life-threatening disease,indication,{compound} {entity} randomized placebo
disorder_02354,disorder,pair_core,2C-T-2 Distress associated with life-threatening disease treatment outcome,2C-T-2,Distress associated with life-threatening disease,indication,{compound} {entity} treatment outcome
disorder_02355,disorder,pair_core,2C-T-2 Obsessive-compulsive disorder clinical trial,2C-T-2,Obsessive-compulsive disorder,indication,{compound} {entity} clinical trial
disorder_02356,disorder,pair_core,2C-T-2 Obsessive-compulsive disorder randomized placebo,2C-T-2,Obsessive-compulsive disorder,indication,{compound} {entity} randomized placebo
disorder_02357,disorder,pair_core,2C-T-2 Obsessive-compulsive disorder treatment outcome,2C-T-2,Obsessive-compulsive disorder,indication,{compound} {entity} treatment outcome
disorder_02358,disorder,pair_core,2C-T-2 Eating disorders clinical trial,2C-T-2,Eating disorders,indication,{compound} {entity} clinical trial
disorder_02359,disorder,pair_core,2C-T-2 Eating disorders randomized placebo,2C-T-2,Eating disorders,indication,{compound} {entity} randomized placebo
disorder_02360,disorder,pair_core,2C-T-2 Eating disorders treatment outcome,2C-T-2,Eating disorders,indication,{compound} {entity} treatment outcome
disorder_02361,disorder,pair_core,2C-T-2 Anorexia nervosa clinical trial,2C-T-2,Anorexia nervosa,indication,{compound} {entity} clinical trial
disorder_02362,disorder,pair_core,2C-T-2 Anorexia nervosa randomized placebo,2C-T-2,Anorexia nervosa,indication,{compound} {entity} randomized placebo
disorder_02363,disorder,pair_core,2C-T-2 Anorexia nervosa treatment outcome,2C-T-2,Anorexia nervosa,indication,{compound} {entity} treatment outcome
disorder_02364,disorder,pair_core,2C-T-2 Bulimia nervosa clinical trial,2C-T-2,Bulimia nervosa,indication,{compound} {entity} clinical trial
disorder_02365,disorder,pair_core,2C-T-2 Bulimia nervosa randomized placebo,2C-T-2,Bulimia nervosa,indication,{compound} {entity} randomized placebo
disorder_02366,disorder,pair_core,2C-T-2 Bulimia nervosa treatment outcome,2C-T-2,Bulimia nervosa,indication,{compound} {entity} treatment outcome
disorder_02367,disorder,pair_core,2C-T-2 Binge-eating disorder clinical trial,2C-T-2,Binge-eating disorder,indication,{compound} {entity} clinical trial
disorder_02368,disorder,pair_core,2C-T-2 Binge-eating disorder randomized placebo,2C-T-2,Binge-eating disorder,indication,{compound} {entity} randomized placebo
disorder_02369,disorder,pair_core,2C-T-2 Binge-eating disorder treatment outcome,2C-T-2,Binge-eating disorder,indication,{compound} {entity} treatment outcome
disorder_02370,disorder,pair_core,2C-T-2 Autism spectrum disorder clinical trial,2C-T-2,Autism spectrum disorder,indication,{compound} {entity} clinical trial
disorder_02371,disorder,pair_core,2C-T-2 Autism spectrum disorder randomized placebo,2C-T-2,Autism spectrum disorder,indication,{compound} {entity} randomized placebo
disorder_02372,disorder,pair_core,2C-T-2 Autism spectrum disorder treatment outcome,2C-T-2,Autism spectrum disorder,indication,{compound} {entity} treatment outcome
disorder_02373,disorder,pair_core,2C-T-2 Demoralization clinical trial,2C-T-2,Demoralization,indication,{compound} {entity} clinical trial
disorder_02374,disorder,pair_core,2C-T-2 Demoralization randomized placebo,2C-T-2,Demoralization,indication,{compound} {entity} randomized placebo
disorder_02375,disorder,pair_core,2C-T-2 Demoralization treatment outcome,2C-T-2,Demoralization,indication,{compound} {entity} treatment outcome
disorder_02376,disorder,pair_core,2C-T-2 Suicidal ideation clinical trial,2C-T-2,Suicidal ideation,indication,{compound} {entity} clinical trial
disorder_02377,disorder,pair_core,2C-T-2 Suicidal ideation randomized placebo,2C-T-2,Suicidal ideation,indication,{compound} {entity} randomized placebo
disorder_02378,disorder,pair_core,2C-T-2 Suicidal ideation treatment outcome,2C-T-2,Suicidal ideation,indication,{compound} {entity} treatment outcome
disorder_02379,disorder,pair_core,2C-T-2 Cluster headache clinical trial,2C-T-2,Cluster headache,indication,{compound} {entity} clinical trial
disorder_02380,disorder,pair_core,2C-T-2 Cluster headache randomized placebo,2C-T-2,Cluster headache,indication,{compound} {entity} randomized placebo
disorder_02381,disorder,pair_core,2C-T-2 Cluster headache treatment outcome,2C-T-2,Cluster headache,indication,{compound} {entity} treatment outcome
disorder_02382,disorder,pair_core,2C-T-2 Headache disorders clinical trial,2C-T-2,Headache disorders,indication,{compound} {entity} clinical trial
disorder_02383,disorder,pair_core,2C-T-2 Headache disorders randomized placebo,2C-T-2,Headache disorders,indication,{compound} {entity} randomized placebo
disorder_02384,disorder,pair_core,2C-T-2 Headache disorders treatment outcome,2C-T-2,Headache disorders,indication,{compound} {entity} treatment outcome
disorder_02385,disorder,pair_core,2C-T-2 Migraine clinical trial,2C-T-2,Migraine,indication,{compound} {entity} clinical trial
disorder_02386,disorder,pair_core,2C-T-2 Migraine randomized placebo,2C-T-2,Migraine,indication,{compound} {entity} randomized placebo
disorder_02387,disorder,pair_core,2C-T-2 Migraine treatment outcome,2C-T-2,Migraine,indication,{compound} {entity} treatment outcome
disorder_02388,disorder,pair_core,2C-T-2 Chronic pain clinical trial,2C-T-2,Chronic pain,indication,{compound} {entity} clinical trial
disorder_02389,disorder,pair_core,2C-T-2 Chronic pain randomized placebo,2C-T-2,Chronic pain,indication,{compound} {entity} randomized placebo
disorder_02390,disorder,pair_core,2C-T-2 Chronic pain treatment outcome,2C-T-2,Chronic pain,indication,{compound} {entity} treatment outcome
disorder_02391,disorder,pair_core,2C-T-2 Fibromyalgia clinical trial,2C-T-2,Fibromyalgia,indication,{compound} {entity} clinical trial
disorder_02392,disorder,pair_core,2C-T-2 Fibromyalgia randomized placebo,2C-T-2,Fibromyalgia,indication,{compound} {entity} randomized placebo
disorder_02393,disorder,pair_core,2C-T-2 Fibromyalgia treatment outcome,2C-T-2,Fibromyalgia,indication,{compound} {entity} treatment outcome
disorder_02394,disorder,pair_core,2C-T-7 Treatment-resistant depression clinical trial,2C-T-7,Treatment-resistant depression,indication,{compound} {entity} clinical trial
disorder_02395,disorder,pair_core,2C-T-7 Treatment-resistant depression randomized placebo,2C-T-7,Treatment-resistant depression,indication,{compound} {entity} randomized placebo
disorder_02396,disorder,pair_core,2C-T-7 Treatment-resistant depression treatment outcome,2C-T-7,Treatment-resistant depression,indication,{compound} {entity} treatment outcome
disorder_02397,disorder,pair_core,2C-T-7 Major depressive disorder clinical trial,2C-T-7,Major depressive disorder,indication,{compound} {entity} clinical trial
disorder_02398,disorder,pair_core,2C-T-7 Major depressive disorder randomized placebo,2C-T-7,Major depressive disorder,indication,{compound} {entity} randomized placebo
disorder_02399,disorder,pair_core,2C-T-7 Major depressive disorder treatment outcome,2C-T-7,Major depressive disorder,indication,{compound} {entity} treatment outcome
disorder_02400,disorder,pair_core,2C-T-7 Bipolar depression clinical trial,2C-T-7,Bipolar depression,indication,{compound} {entity} clinical trial
disorder_02401,disorder,pair_core,2C-T-7 Bipolar depression randomized placebo,2C-T-7,Bipolar depression,indication,{compound} {entity} randomized placebo
disorder_02402,disorder,pair_core,2C-T-7 Bipolar depression treatment outcome,2C-T-7,Bipolar depression,indication,{compound} {entity} treatment outcome
disorder_02403,disorder,pair_core,2C-T-7 Persistent depressive disorder clinical trial,2C-T-7,Persistent depressive disorder,indication,{compound} {entity} clinical trial
disorder_02404,disorder,pair_core,2C-T-7 Persistent depressive disorder randomized placebo,2C-T-7,Persistent depressive disorder,indication,{compound} {entity} randomized placebo
disorder_02405,disorder,pair_core,2C-T-7 Persistent depressive disorder treatment outcome,2C-T-7,Persistent depressive disorder,indication,{compound} {entity} treatment outcome
disorder_02406,disorder,pair_core,2C-T-7 Post-traumatic stress disorder clinical trial,2C-T-7,Post-traumatic stress disorder,indication,{compound} {entity} clinical trial
disorder_02407,disorder,pair_core,2C-T-7 Post-traumatic stress disorder randomized placebo,2C-T-7,Post-traumatic stress disorder,indication,{compound} {entity} randomized placebo
disorder_02408,disorder,pair_core,2C-T-7 Post-traumatic stress disorder treatment outcome,2C-T-7,Post-traumatic stress disorder,indication,{compound} {entity} treatment outcome
disorder_02409,disorder,pair_core,2C-T-7 Complex post-traumatic stress disorder clinical trial,2C-T-7,Complex post-traumatic stress disorder,indication,{compound} {entity} clinical trial
disorder_02410,disorder,pair_core,2C-T-7 Complex post-traumatic stress disorder randomized placebo,2C-T-7,Complex post-traumatic stress disorder,indication,{compound} {entity} randomized placebo
disorder_02411,disorder,pair_core,2C-T-7 Complex post-traumatic stress disorder treatment outcome,2C-T-7,Complex post-traumatic stress disorder,indication,{compound} {entity} treatment outcome
disorder_02412,disorder,pair_core,2C-T-7 Alcohol use disorder clinical trial,2C-T-7,Alcohol use disorder,indication,{compound} {entity} clinical trial
disorder_02413,disorder,pair_core,2C-T-7 Alcohol use disorder randomized placebo,2C-T-7,Alcohol use disorder,indication,{compound} {entity} randomized placebo
disorder_02414,disorder,pair_core,2C-T-7 Alcohol use disorder treatment outcome,2C-T-7,Alcohol use disorder,indication,{compound} {entity} treatment outcome
disorder_02415,disorder,pair_core,2C-T-7 Tobacco use disorder clinical trial,2C-T-7,Tobacco use disorder,indication,{compound} {entity} clinical trial
disorder_02416,disorder,pair_core,2C-T-7 Tobacco use disorder randomized placebo,2C-T-7,Tobacco use disorder,indication,{compound} {entity} randomized placebo
disorder_02417,disorder,pair_core,2C-T-7 Tobacco use disorder treatment outcome,2C-T-7,Tobacco use disorder,indication,{compound} {entity} treatment outcome
disorder_02418,disorder,pair_core,2C-T-7 Nicotine dependence clinical trial,2C-T-7,Nicotine dependence,indication,{compound} {entity} clinical trial
disorder_02419,disorder,pair_core,2C-T-7 Nicotine dependence randomized placebo,2C-T-7,Nicotine dependence,indication,{compound} {entity} randomized placebo
disorder_02420,disorder,pair_core,2C-T-7 Nicotine dependence treatment outcome,2C-T-7,Nicotine dependence,indication,{compound} {entity} treatment outcome
disorder_02421,disorder,pair_core,2C-T-7 Opioid use disorder clinical trial,2C-T-7,Opioid use disorder,indication,{compound} {entity} clinical trial
disorder_02422,disorder,pair_core,2C-T-7 Opioid use disorder randomized placebo,2C-T-7,Opioid use disorder,indication,{compound} {entity} randomized placebo
disorder_02423,disorder,pair_core,2C-T-7 Opioid use disorder treatment outcome,2C-T-7,Opioid use disorder,indication,{compound} {entity} treatment outcome
disorder_02424,disorder,pair_core,2C-T-7 Cannabis use disorder clinical trial,2C-T-7,Cannabis use disorder,indication,{compound} {entity} clinical trial
disorder_02425,disorder,pair_core,2C-T-7 Cannabis use disorder randomized placebo,2C-T-7,Cannabis use disorder,indication,{compound} {entity} randomized placebo
disorder_02426,disorder,pair_core,2C-T-7 Cannabis use disorder treatment outcome,2C-T-7,Cannabis use disorder,indication,{compound} {entity} treatment outcome
disorder_02427,disorder,pair_core,2C-T-7 Cocaine use disorder clinical trial,2C-T-7,Cocaine use disorder,indication,{compound} {entity} clinical trial
disorder_02428,disorder,pair_core,2C-T-7 Cocaine use disorder randomized placebo,2C-T-7,Cocaine use disorder,indication,{compound} {entity} randomized placebo
disorder_02429,disorder,pair_core,2C-T-7 Cocaine use disorder treatment outcome,2C-T-7,Cocaine use disorder,indication,{compound} {entity} treatment outcome
disorder_02430,disorder,pair_core,2C-T-7 Methamphetamine use disorder clinical trial,2C-T-7,Methamphetamine use disorder,indication,{compound} {entity} clinical trial
disorder_02431,disorder,pair_core,2C-T-7 Methamphetamine use disorder randomized placebo,2C-T-7,Methamphetamine use disorder,indication,{compound} {entity} randomized placebo
disorder_02432,disorder,pair_core,2C-T-7 Methamphetamine use disorder treatment outcome,2C-T-7,Methamphetamine use disorder,indication,{compound} {entity} treatment outcome
disorder_02433,disorder,pair_core,2C-T-7 Stimulant use disorder clinical trial,2C-T-7,Stimulant use disorder,indication,{compound} {entity} clinical trial
disorder_02434,disorder,pair_core,2C-T-7 Stimulant use disorder randomized placebo,2C-T-7,Stimulant use disorder,indication,{compound} {entity} randomized placebo
disorder_02435,disorder,pair_core,2C-T-7 Stimulant use disorder treatment outcome,2C-T-7,Stimulant use disorder,indication,{compound} {entity} treatment outcome
disorder_02436,disorder,pair_core,2C-T-7 Substance use disorder clinical trial,2C-T-7,Substance use disorder,indication,{compound} {entity} clinical trial
disorder_02437,disorder,pair_core,2C-T-7 Substance use disorder randomized placebo,2C-T-7,Substance use disorder,indication,{compound} {entity} randomized placebo
disorder_02438,disorder,pair_core,2C-T-7 Substance use disorder treatment outcome,2C-T-7,Substance use disorder,indication,{compound} {entity} treatment outcome
disorder_02439,disorder,pair_core,2C-T-7 Generalized anxiety disorder clinical trial,2C-T-7,Generalized anxiety disorder,indication,{compound} {entity} clinical trial
disorder_02440,disorder,pair_core,2C-T-7 Generalized anxiety disorder randomized placebo,2C-T-7,Generalized anxiety disorder,indication,{compound} {entity} randomized placebo
disorder_02441,disorder,pair_core,2C-T-7 Generalized anxiety disorder treatment outcome,2C-T-7,Generalized anxiety disorder,indication,{compound} {entity} treatment outcome
disorder_02442,disorder,pair_core,2C-T-7 Social anxiety disorder clinical trial,2C-T-7,Social anxiety disorder,indication,{compound} {entity} clinical trial
disorder_02443,disorder,pair_core,2C-T-7 Social anxiety disorder randomized placebo,2C-T-7,Social anxiety disorder,indication,{compound} {entity} randomized placebo
disorder_02444,disorder,pair_core,2C-T-7 Social anxiety disorder treatment outcome,2C-T-7,Social anxiety disorder,indication,{compound} {entity} treatment outcome
disorder_02445,disorder,pair_core,2C-T-7 Distress associated with life-threatening disease clinical trial,2C-T-7,Distress associated with life-threatening disease,indication,{compound} {entity} clinical trial
disorder_02446,disorder,pair_core,2C-T-7 Distress associated with life-threatening disease randomized placebo,2C-T-7,Distress associated with life-threatening disease,indication,{compound} {entity} randomized placebo
disorder_02447,disorder,pair_core,2C-T-7 Distress associated with life-threatening disease treatment outcome,2C-T-7,Distress associated with life-threatening disease,indication,{compound} {entity} treatment outcome
disorder_02448,disorder,pair_core,2C-T-7 Obsessive-compulsive disorder clinical trial,2C-T-7,Obsessive-compulsive disorder,indication,{compound} {entity} clinical trial
disorder_02449,disorder,pair_core,2C-T-7 Obsessive-compulsive disorder randomized placebo,2C-T-7,Obsessive-compulsive disorder,indication,{compound} {entity} randomized placebo
disorder_02450,disorder,pair_core,2C-T-7 Obsessive-compulsive disorder treatment outcome,2C-T-7,Obsessive-compulsive disorder,indication,{compound} {entity} treatment outcome
