TRIAGE_BUCKET,HAS_ACTIVE_KG_FINDINGS,KG_FINDING_COUNT,RETAINED_FOR_EXTRACTION_CANDIDATE,PRESCREEN_RETAINED_FOR_EXTRACTION_CANDIDATE,SEARCH_TARGET_DOI,SEARCH_TARGET_TITLE,ACTION_CATEGORY,PRIORITY_TIER,PRIORITY_REASON,PAPER_TYPE,PUBLICATION_TYPE,SOURCE_FAMILY,CURRENT_STATE,WHY_IN_QUEUE,OLD_ARTIFACT_PROBLEM,EXACT_PDF_URLS_TO_TRY_FIRST,OTHER_CANDIDATE_URLS_REQUIRING_VALIDATION,PMCID_IF_ANY,PMC_LANDING_IF_ANY,DOI_LANDING
A_existing_kg_claims_source_artifact_problem,True,9,True,True,10.1192/j.eurpsy.2023.1792,Intranasal esketamine + Intensive CBT: a 12 months follow-up of two complicated cases of Treatment Resistant Depression at high suicidal risk,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,9 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC10479075 | https://pmc.ncbi.nlm.nih.gov/articles/PMC10479075/pdf/S0924933823017923a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/BDE7B852C5186C7A39ED812BABFFF83C/S0924933823017923a.pdf/div-class-title-intranasal-esketamine-intensive-cbt-a-12-months-follow-up-of-two-complicated-cases-of-treatment-resistant-depression-at-high-suicidal-risk-div.pdf | http://dx.doi.org/10.1192/j.eurpsy.2023.1792,PMC10479075,https://pmc.ncbi.nlm.nih.gov/articles/PMC10479075/,https://doi.org/10.1192/j.eurpsy.2023.1792
A_existing_kg_claims_source_artifact_problem,True,9,True,True,10.1192/j.eurpsy.2024.1744,Functional connectivity of the amygdala subregions and the antidepressant effects of repeated ketamine infusions in major depressive disorder,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,9 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC11059247 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11059247/pdf/S0924933824017449a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8FF1D3362FB36199D15F9BAC5C313DAC/S0924933824017449a.pdf/div-class-title-functional-connectivity-of-the-amygdala-subregions-and-the-antidepressant-effects-of-repeated-ketamine-infusions-in-major-depressive-disorder-div.pdf | https://doi.org/10.1192/j.eurpsy.2024.1744,PMC11059247,https://pmc.ncbi.nlm.nih.gov/articles/PMC11059247/,https://doi.org/10.1192/j.eurpsy.2024.1744
A_existing_kg_claims_source_artifact_problem,True,8,True,True,10.56126/75.s1.22,Ketamine Infusion Therapy in chronic pain,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,8 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,http://www.actaanaesthesiologica.be/assets/396/ActaAnaesthBelg-74-s1-115.pdf | https://doi.org/10.56126/75.s1.22,,,https://doi.org/10.56126/75.s1.22
A_existing_kg_claims_source_artifact_problem,True,7,True,True,10.1192/j.eurpsy.2022.1731,MDMA-Assisted Therapy for Treatment-Resistant Posttraumatic Stress Disorder (PTSD) – One step further toward a patient-centered treatment pathway,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,7 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,review,journal-article,secondary_literature,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC9567733 | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/CEF12354C3E0313E0D5DF8326CFCDAD7/S092493382201731Xa.pdf/div-class-title-mdma-assisted-therapy-for-treatment-resistant-posttraumatic-stress-disorder-ptsd-one-step-further-toward-a-patient-centered-treatment-pathway-div.pdf | https://doi.org/10.1192/j.eurpsy.2022.1731,PMC9567733,https://pmc.ncbi.nlm.nih.gov/articles/PMC9567733/,https://doi.org/10.1192/j.eurpsy.2022.1731
A_existing_kg_claims_source_artifact_problem,True,6,True,True,10.1007/s00213-024-06573-1,Synergistic use of deep TMS therapy with IV ketamine infusions for major depressive disorder: a pilot study,manual_identity_mismatch,P0_existing_kg_and_retained,6 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,article,primary,quarantined_no_active_artifact,Acquire a replacement because the quarantined artifact belongs to a different document.,identity_mismatch,,,,,https://doi.org/10.1007/s00213-024-06573-1
A_existing_kg_claims_source_artifact_problem,True,6,True,True,10.34172/ddj.2023.437,The Effect of Intravenous Ketamine on Suicidal Ideation in Depressed Patients: A Randomized Clinical Trial,manual_replace_known_wrong_pdf,P0_existing_kg_and_retained,6 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,article,primary,quarantined_no_active_artifact,Replace the known wrong PDF with the independently identified exact article PDF.,identity_mismatch | manual_wrong_pdf,https://ddj.hums.ac.ir/PDF/ddj-12-106.pdf,,,,https://doi.org/10.34172/ddj.2023.437
A_existing_kg_claims_source_artifact_problem,True,4,True,True,10.1093/ijnp/pyae059.561,"MODULATION OF THE ANTIDEPRESSANT RESPONSE OF KETAMINE BY AN IMMUNOSUPPRESSANT RAPAMYCIN: A PROSPECTIVE RANDOMIZED, DOUBLE-BLIND, PLACEBO CONTROLLED STUDY IN THE PATIENTS WITH REFRACTORY DEPRESSION.",manual_exact_item_from_proceedings,P0_existing_kg_and_retained,4 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC11814895 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/81/ce/pyae059.561.PMC11814895.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC11814895/pdf/pyae059.561.pdf | https://doi.org/10.1093/ijnp/pyae059.561,PMC11814895,https://pmc.ncbi.nlm.nih.gov/articles/PMC11814895/,https://doi.org/10.1093/ijnp/pyae059.561
A_existing_kg_claims_source_artifact_problem,True,4,True,True,10.1093/ijnp/pyae059.583,"DIFFERENCE IN TREATMENT-RESPONSE OF IPSC-DERIVED NEURONS TO REELIN AND (2R,6R)-HNK FROM PARTICIPANTS WITH TREATMENT- RESISTANT DEPRESSION",manual_exact_item_from_proceedings,P0_existing_kg_and_retained,4 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC11814622 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/be/4b/pyae059.583.PMC11814622.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC11814622/pdf/pyae059.583.pdf | https://doi.org/10.1093/ijnp/pyae059.583,PMC11814622,https://pmc.ncbi.nlm.nih.gov/articles/PMC11814622/,https://doi.org/10.1093/ijnp/pyae059.583
A_existing_kg_claims_source_artifact_problem,True,4,True,True,10.1192/j.eurpsy.2024.253,How adults with treatment resistant depression experience their first esketamine nasal spray treatment? Preliminary results from a French qualitative study.,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,4 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC11859045 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11859045/pdf/S0924933824002530a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/FE2BAAADA9356C47BA15C0D193742487/S0924933824002530a.pdf/div-class-title-how-adults-with-treatment-resistant-depression-experience-their-first-esketamine-nasal-spray-treatment-preliminary-results-from-a-french-qualitative-study-div.pdf | http://dx.doi.org/10.1192/j.eurpsy.2024.253,PMC11859045,https://pmc.ncbi.nlm.nih.gov/articles/PMC11859045/,https://doi.org/10.1192/j.eurpsy.2024.253
A_existing_kg_claims_source_artifact_problem,True,3,True,True,10.1192/j.eurpsy.2024.875,The Effect of the Apollo Neuro Device on Anxiety Among Participants who Underwent Ketamine Assisted Therapy,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,3 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC11862426 | https://pmc.ncbi.nlm.nih.gov/articles/PMC11862426/pdf/S0924933824008757a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/95A46C431D1799293ACE77CBC6559B39/S0924933824008757a.pdf/div-class-title-the-effect-of-the-apollo-neuro-device-on-anxiety-among-participants-who-underwent-ketamine-assisted-therapy-div.pdf | http://dx.doi.org/10.1192/j.eurpsy.2024.875,PMC11862426,https://pmc.ncbi.nlm.nih.gov/articles/PMC11862426/,https://doi.org/10.1192/j.eurpsy.2024.875
A_existing_kg_claims_source_artifact_problem,True,2,True,True,10.1192/j.eurpsy.2024.480,Ketamine enhanced ECT in refractory recurrent depression.,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,2 active KG findings | retained_for_extraction_candidate | flag_in_curated_claims,primary,article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",identity_unverified | unsegmented_proceedings_container | proceedings_container,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11859476/pdf/S0924933824004802a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D7E48E322481BB9B45B8F845283EA022/S0924933824004802a.pdf/div-class-title-ketamine-enhanced-ect-in-refractory-recurrent-depression-div.pdf | https://europepmc.org/api/getPdf?pmcid=PMC11859476,PMC11859476,https://pmc.ncbi.nlm.nih.gov/articles/PMC11859476/,https://doi.org/10.1192/j.eurpsy.2024.480
A_existing_kg_claims_source_artifact_problem,True,24,True,True,10.5451/unibas-006616893,Pharmacology of novel psychoactive substances,manual_exact_nested_repository_item,P0_existing_kg_and_retained,24 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,dissertation,primary,quarantined_no_active_artifact,"Acquire the DOI-bearing paper or chapter itself, not a repository wrapper, thesis, or neighboring nested document.",identity_mismatch | repository_or_nested_document,,https://edoc.unibas.ch/43281/1/Diss%20Pflichtex%20AR%20online%20final%2003.06.2016.pdf,,,https://doi.org/10.5451/unibas-006616893
A_existing_kg_claims_source_artifact_problem,True,14,True,True,10.1007/s00406-024-01913-w,"Inflammatory cytokines, cortisol, and anhedonia in patients with treatment-resistant depression after consecutive infusions of low-dose esketamine",manual_identity_mismatch,P0_existing_kg_and_retained,14 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,article,primary,quarantined_no_active_artifact,Acquire a replacement because the quarantined artifact belongs to a different document.,identity_mismatch,,,,,https://doi.org/10.1007/s00406-024-01913-w
A_existing_kg_claims_source_artifact_problem,True,12,True,True,10.1007/s00406-023-01735-2,Effects of melancholic features on positive and negative suicidal ideation in patients with treatment-resistant depression and strong suicidal ideation receiving low-dose ketamine infusion,manual_identity_mismatch,P0_existing_kg_and_retained,12 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,article,primary,quarantined_no_active_artifact,Acquire a replacement because the quarantined artifact belongs to a different document.,identity_mismatch,,,,,https://doi.org/10.1007/s00406-023-01735-2
A_existing_kg_claims_source_artifact_problem,True,8,True,True,10.1093/ijnp/pyae059.262,CONTRIBUTION OF 5-HT2AR TO THE ANTI-ANHEDONIC AND NEUROPLASTICITY EFFECTS OF PSYCHEDELICS.,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,8 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC11814835 | https://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_pdf/b2/a0/pyae059.262.PMC11814835.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC11814835/pdf/pyae059.262.pdf | https://doi.org/10.1093/ijnp/pyae059.262,PMC11814835,https://pmc.ncbi.nlm.nih.gov/articles/PMC11814835/,https://doi.org/10.1093/ijnp/pyae059.262
A_existing_kg_claims_source_artifact_problem,True,8,True,True,10.1192/j.eurpsy.2023.1779,Good Practice for Treatment-Resistant Depression during SARS CoV – 2 outbreak: are ketamine infusions an effective alternative for TRD patients? A case series.,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,8 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC10479101 | https://pmc.ncbi.nlm.nih.gov/articles/PMC10479101/pdf/ | https://www.semanticscholar.org/paper/2a700463b8c0797a39b02698c78b5d11c2c7ed2f,PMC10479101,https://pmc.ncbi.nlm.nih.gov/articles/PMC10479101/,https://doi.org/10.1192/j.eurpsy.2023.1779
A_existing_kg_claims_source_artifact_problem,True,8,True,True,10.1192/j.eurpsy.2023.271,"ESKALE study, a French real-world study describing TRD patients with Esketamine nasal spray: final analysis.",manual_exact_item_from_proceedings,P0_existing_kg_and_retained,8 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC10596582 | https://pmc.ncbi.nlm.nih.gov/articles/PMC10596582/pdf/ | https://www.semanticscholar.org/paper/089cf3a332e6b997e0e669e9c81859dda62f9e13,PMC10596582,https://pmc.ncbi.nlm.nih.gov/articles/PMC10596582/,https://doi.org/10.1192/j.eurpsy.2023.271
A_existing_kg_claims_source_artifact_problem,True,7,True,True,10.1192/j.eurpsy.2023.1745,Effectiveness and Tolerability of Intranasal Esketamine in Treatment-Resistant Depression: Report of Two Clinical Cases.,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,7 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC10478985 | https://pmc.ncbi.nlm.nih.gov/articles/PMC10478985/pdf/S0924933823017455a.pdf | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/2038AB872163C951B913106F69739716/S0924933823017455a.pdf/div-class-title-effectiveness-and-tolerability-of-intranasal-esketamine-in-treatment-resistant-depression-report-of-two-clinical-cases-div.pdf | http://dx.doi.org/10.1192/j.eurpsy.2023.1745,PMC10478985,https://pmc.ncbi.nlm.nih.gov/articles/PMC10478985/,https://doi.org/10.1192/j.eurpsy.2023.1745
A_existing_kg_claims_source_artifact_problem,True,7,True,True,10.1192/j.eurpsy.2025.1046,Real clinical experience of inhaled esketamine in bipolar depression. A retrospective study,manual_exact_item_from_proceedings,P0_existing_kg_and_retained,7 active KG findings | retained_for_extraction_candidate | flag_in_claim_stubs,primary,journal-article,primary,quarantined_no_active_artifact,"Retain the search record, but acquire an item-specific PDF/JATS record or slice the exact DOI/title item from the proceedings container.",unsegmented_proceedings_container | proceedings_container,,https://europepmc.org/api/getPdf?pmcid=PMC12437411 | https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1716006A94DFEE0E861096A198A228B7/S0924933825010466a.pdf/div-class-title-real-clinical-experience-of-inhaled-esketamine-in-bipolar-depression-a-retrospective-study-div.pdf | https://doi.org/10.1192/j.eurpsy.2025.1046,PMC12437411,https://pmc.ncbi.nlm.nih.gov/articles/PMC12437411/,https://doi.org/10.1192/j.eurpsy.2025.1046
