doi,classification,relation_or_failure_subtype,confidence,requested_title,identity_status,identity_basis,document_doi,document_title,title_similarity_header,title_coverage_front,target_title_score_full_artifact,target_title_exact_in_artifact,target_doi_literal_in_artifact,best_backend,fulltext_source,artifact_path,artifact_pdf_path,artifact_pdf_exists,current_candidate_pdf_path,current_candidate_pdf_exists,manual_import_reports,local_correct_text_status,exact_doi_pmcid,direct_xml_availability,openalex_is_oa,openalex_pdf_url,openalex_landing_url,remote_correct_text_status,current_kg_finding_count,repair_method,availability_caveat
10.1007/s10552-026-02172-x,unresolved_non_pmc_artifact,document_identity_mismatch,high,Classic psychedelic and cannabis use among U.S. cancer survivors aged ≥ 50 years: nationally representative estimates by cancer type/site.,identity_mismatch,document DOI differs and title evidence does not support the requested paper,10.1093/jncics/pkae004,Cannabis use among cancer patients and survivors in the United States: a systematic review,0.4386,0.5385,0.7692,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_s10552_026_02172_x.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s10552-026-02172-x__6a678496cf.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s10552-026-02172-x__6a678496cf.pdf,True,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1007/s40264-025-01530-z,unresolved_non_pmc_artifact,document_identity_mismatch,high,Opinion Mining of Erowid's Experience Reports on LSD and Psilocybin-Containing Mushrooms.,identity_mismatch,document DOI differs and title evidence does not support the requested paper,10.1177/2045125320967197,New psychoactive substances: a review and updates,0.2464,0.2222,0.625,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1007_s40264_025_01530_z.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s40264-025-01530-z__42cdd4dc7d.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1007_s40264-025-01530-z__42cdd4dc7d.pdf,True,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.annemergmed.2006.09.018,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,Patterns of Ecstasy-Associated Hyponatremia in California,identity_unverified,insufficient document-level identifier or title evidence,,Ecstasy-associated hyponatremia: Gender difference in California 2000 -2005,0.6818,0.8,0.8,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_annemergmed_2006_09_018.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.annemergmed.2006.09.018__2ebea80ced.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.annemergmed.2006.09.018__2ebea80ced.pdf,True,manual_pdf_import_report.dry_run.json,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,8,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.biopsych.2026.03.1008,benign_conflict,preprint_repository_version,high,Baseline Mismatch Negativity Amplitude Predicts Direction and Magnitude of Ketamine Effect in Healthy Volunteers — A “Disordinal” Effect,target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1101/2025.10.07.25337443,"Baseline Mismatch Negativity Amplitude Predicts Direction and Magnitude of Ketamine Effect in Healthy Volunteers -A ""Disordinal"" Effect",1.0,1.0,1.0,False,False,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_biopsych_2026_03_1008.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1016_j.biopsych.2026.03.1008__d16367d01c.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.biopsych.2026.03.1008__d16367d01c.pdf,True,,correct_content_available_locally,,,True,https://www.medrxiv.org/content/medrxiv/early/2025/10/13/2025.10.07.25337443.1.full.pdf,https://doi.org/10.1101/2025.10.07.25337443,oa_pdf_signal_requires_identity_validation,0,Keep local text; register explicit preprint/repository-to-published relation and choose canonical display DOI; no reacquisition.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.bpsc.2021.10.005,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,Interoception Underlies Therapeutic Effects of Mindfulness Meditation for Post-Traumatic Stress Disorder: A Randomized Clinical Trial.,identity_unverified,insufficient document-level identifier or title evidence,,The Interoceptive Neural Mechanism of Meditation,0.3626,0.9167,0.9091,False,False,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_bpsc_2021_10_005.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1016_j.bpsc.2021.10.005__8644f73b31.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.bpsc.2021.10.005__8644f73b31.pdf,True,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.cub.2012.02.033,repository_or_nested_document,repository_thesis_issue_nested_content,high,"Neuroimaging: a scanner, colourfully.",identity_mismatch,document DOI differs and title evidence does not support the requested paper,10.1016/j.cub.2012.02.036,"Neuroimaging: A Scanner, Colourfully Two recent studies report changes in human brain responses after exposure to psilocybin, the active ingredient of hallucinogenic mushrooms. Psilocybin increased sensory cortex responses during emotional recollection, but decreased resting-state blood flow in prefrontal cortex, with potential implications for treating depression",0.1836,1.0,1.0,True,True,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_cub_2012_02_033.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.cub.2012.02.033__171fb11607.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.cub.2012.02.033__171fb11607.pdf,True,manual_pdf_import_report_after_browser_batch30_20260618.json,target_or_related_content_nested_requires_segmentation,,,True,http://www.cell.com/article/S0960982212001844/pdf,https://doi.org/10.1016/j.cub.2012.02.033,oa_pdf_signal_requires_identity_validation,0,"Keep repository/thesis/issue source separately, but segment the requested subdocument before extraction; do not treat a constituent DOI as the container identity.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.drugpo.2014.07.004,no_header_wrong_or_ancillary,wrong_unrelated_document,high,"Self-reported prevalence of dependence of MDMA compared to cocaine, mephedrone and ketamine among a sample of recreational poly-drug users",identity_unverified,insufficient document-level identifier or title evidence,,,,0.0,0.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_drugpo_2014_07_004.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.drugpo.2014.07.004__1949d90567.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.drugpo.2014.07.004__1949d90567.pdf,True,,main_article_not_available_in_current_artifact,,,False,,,no_open_fulltext_signal_found,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.eurpsy.2016.01.1060,proceedings_container,proceedings_or_multi_abstract_container,high,The “Endless Trip”: Psychopathology and psychopharmacology in the Hallucinogen Persisting Perception Disorder (HPPD),target_text_with_conflicting_doi,requested title is present but the document identifier differs; version or container must be resolved,10.1016/j.eurpsy.2016.01.1059,"The ""Endless Trip"": Psychopathology and psychopharmacology in the Hallucinogen Persisting Perception Disorder (HPPD)",1.0,1.0,1.0,False,True,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_eurpsy_2016_01_1060.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.eurpsy.2016.01.1060__c8bc54a4f1.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.eurpsy.2016.01.1060__c8bc54a4f1.pdf,True,,target_present_in_container_needs_segmentation,,,True,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/88E612C4BD23129B8196208F4A472D46/S0924933800229210a.pdf/div-class-title-the-endless-trip-psychopathology-and-psychopharmacology-in-the-hallucinogen-persisting-perception-disorder-hppd-div.pdf,https://doi.org/10.1016/j.eurpsy.2016.01.1060,oa_pdf_signal_requires_identity_validation,0,"Quarantine whole-container packet. If exact JATS exists, serialize only the matching article/sub-article; otherwise segment PDF by exact DOI/title boundaries. If target is absent, use DOI abstract. Re-extract and rebuild KG findings.","OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.forsciint.2005.04.019,no_header_wrong_or_ancillary,wrong_unrelated_document,high,"Validation of an ELISA-based screening assay for the detection of amphetamine, MDMA and MDA in blood and oral fluid",identity_unverified,insufficient document-level identifier or title evidence,,,,0.0,0.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_forsciint_2005_04_019.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.forsciint.2005.04.019__b6312f684d.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.forsciint.2005.04.019__b6312f684d.pdf,True,,main_article_not_available_in_current_artifact,,,False,,,no_open_fulltext_signal_found,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.jpain.2016.01.394,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,(417) Oral ketamine for chronic pain: a 32-subject placebo-controlled trial in patients on chronic opioids.,identity_unverified,insufficient document-level identifier or title evidence,,,,1.0,1.0,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_jpain_2016_01_394.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.jpain.2016.01.394__dfd7734bfd.pdf,True,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.jpain.2016.01.394__dfd7734bfd.pdf,True,manual_pdf_import_report_after_pdf_viewer_toolbar_retry_20260619.json,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/j.neuropharm.2015.09.004,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,The new psychoactive substances 5-(2-aminopropyl)indole (5-IT) and 6-(2-aminopropyl)indole (6-IT) interact with monoamine transporters in brain tissue.,identity_unverified,insufficient document-level identifier or title evidence,,Elsevier Editorial System(tm) for Neuropharmacology Manuscript Draft,0.1644,0.8,1.0,False,False,grobid,mechanistic,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_j_neuropharm_2015_09_004.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/mechanistic/pdfs/10.1016_j.neuropharm.2015.09.004__94d8c9c2b8.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_j.neuropharm.2015.09.004__94d8c9c2b8.pdf,True,,uncertain_quarantine,PMC4681602,,False,,,exact_pmc_record_available_xml_needs_probe,1,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/s0893-133x(99)00006-8,no_header_wrong_or_ancillary,wrong_unrelated_document,high,Excitatory Actions of NMDA Receptor Antagonists in Rat Entorhinal Cortex and Cultured Entorhinal Cortical Neurons,identity_unverified,insufficient document-level identifier or title evidence,,Changing society and social mobility,0.2148,0.0,0.0909,False,False,grobid,,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_s0893_133x_99_00006_8.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_s0893-133x_99_00006-8__527b1b1c95.pdf,True,,False,,main_article_not_available_in_current_artifact,,,True,https://www.nature.com/articles/1395330.pdf,https://doi.org/10.1016/s0893-133x(99)00006-8,oa_pdf_signal_requires_identity_validation,0,Quarantine wrong artifact/PDF. Reacquire from exact DOI with front-page DOI/title validation; otherwise use canonical abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
10.1016/s2215-0366(18)30170-6,unresolved_non_pmc_artifact,insufficient_identifier_or_title_evidence,high,"3,4-methylenedioxymethamphetamine (MDMA)-assisted psychotherapy for post-traumatic stress disorder in service personnel.",identity_unverified,insufficient document-level identifier or title evidence,,We Were Soldiers: MDMA-Assisted Psychotherapy for Post-Traumatic Stress Disorder in Military Veterans,0.6787,0.8,0.9,False,False,grobid,disorder,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/fulltext/articles/10_1016_s2215_0366_18_30170_6.json,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/disorder/pdfs/10.1016_s2215-0366_18_30170-6__cb34e02700.pdf,False,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/raw/papers/pdfs/10.1016_s2215-0366_18_30170-6__cb34e02700.pdf,True,,uncertain_quarantine,,,False,,,no_open_fulltext_signal_found,0,Quarantine pending manual identity resolution. Confirm explicit version/alias relation and first-page title/DOI; otherwise reacquire exact article or use abstract.,"OpenAlex URLs are discovery signals only; validate DOI/title and reject supplements, app files, manuals, or neighboring abstracts before use."
