finding_id,study_doi,compound,entity_label,domain,evidence_type,entity_role,support,outcome_measure,population,study_design,graph_admission_status,kg_entity_kind_override,paper_type,endpoint_label_source,graph_overview_subjects_json,graph_parent_label,proposition_group_id,assessment,matching_edge_in_active_bootstrap,category,proposed_destination,rationale,assessment_basis,rules
finding:6c0c9bf962d254b3bc,10.1038/sj.npp.1300824,Ketamine,Schizophrenia,clinical_outcome,primary_evidence,,Acute ketamine administration induced psychosis-like symptoms that correlated with increased regional cerebral blood flow in the anterior cingulate cortex; patients with schizophrenia showed greater relative blood flow increases than healthy controls.,Psychosis ratings,Medicated volunteers with schizophrenia compared to normal volunteers,Serial positron emission tomography (PET) blood flow study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:e490badd7aa6262da5,high_confidence_semantic_misclassification,True,disease_model_in_conditions,Cognition / psychotomimetic effects; Safety for exacerbation in patients,"The compound is used to produce or investigate schizophrenia-like symptoms, not treat schizophrenia.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:358882d25aab8387c2,10.1089/psymed.2023.0030,Psilocybin,Suicidality,clinical_outcome,primary_evidence,,Psychedelic use was associated with a significant decrease in suicidal ideation scores.,PHQ-9 Item 9,Health care providers who treat psychiatric disorders with medications,Secondary analysis of a cross-sectional retrospective online survey,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""predominant_or_specific_therapy_compound_recovered_from_class_text""}, {""kind"": ""atomic_compound"", ""label"": ""LSD"", ""reason"": ""predominant_or_specific_therapy_compound_recovered_from_class_text""}]",,proposition:20f138b7303e376777,not_confirmed_by_this_audit,True,,,,,
finding:ec526c0e290b0b92f2,10.3390/ph12030133,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,Patients with clinically significant childhood sexual abuse (SA ≥ 8) showed a greater reduction in depressive symptoms (8.08 points) compared to those without (4.82 points) after a single infusion.,Quick Inventory of Depressive Symptoms-Self Report (QIDS-SR),Patients with clinically significant childhood sexual abuse,Naturalistic community outpatient clinic study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:0bbc3393c86761b870,not_confirmed_by_this_audit,True,,,,,
finding:de6bb6dc8b09843bdd,10.1111/acps.13812,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"The presence or absence of specific types of childhood trauma (e.g., sexual abuse, violence) did not significantly impact the reduction of depressive symptoms following ketamine treatment.",QIDS-SR16,TRD patients categorized by specific CTQ trauma types,Retrospective post hoc analysis,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:77bea478ee02aa0af7,not_confirmed_by_this_audit,True,,,,,
finding:9849c173d5c909d831,10.1080/02791072.2023.2253538,Psilocybin,Microsmia,clinical_outcome,primary_evidence,,A man who developed microsmia after a respiratory infection experienced improvement in smell after the use of 6 g of psilocybin containing mushrooms.,Self-reported olfactory function,Man with microsmia after respiratory infection,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:da2ec36541bd20fe68,not_confirmed_by_this_audit,False,,,,,
finding:71788daaf090a2a67a,10.1590/1516-4446-2014-1496,Ayahuasca,Major depressive disorder,clinical_outcome,primary_evidence,,"Ayahuasca administration did not induce episodes of mania or hypomania, as indicated by nonsignificant changes in YMRS scores.",Young Mania Rating Scale (YMRS),Patients with recurrent MDD,Open-label trial,main_graph,condition_indication,primary_study,,"[{""aliases"": [""DMT/HAR formulation""], ""kind"": ""compound_combination"", ""label"": ""Ayahuasca"", ""reason"": ""controlled_registered_exposure_kind""}]",,proposition:a4c1469de5b95efc24,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:e46f0f112f384ba25a,10.1007/bf03379605,Ketamine,Chronic pain,clinical_outcome,primary_evidence,,"Patients with comorbid chronic pain and addiction showed robust positive outcomes including dramatic reductions in destructive doses of prescribed opioid narcotics and recovery from substance abuse, though they required more sessions than those with depression alone.",Reduction in opioid use and pain-related psychosocial function,"Patients with comorbid chronic pain (e.g., Fibromyalgia, CRPS) and/or substance abuse.",Retrospective case series / preliminary report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:54a6a5587a0373129b,not_confirmed_by_this_audit,True,,,,,
finding:6d8aa760fedefc324e,10.1016/j.drugpo.2022.103612,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,Recreational ketamine users reported both increases and decreases in depression and anxiety symptoms as a result of their use.,Self-reported changes in mental health symptoms,Nightlife attendees aged 18-34 in the UK who attend electronic music events,Longitudinal and cross-sectional survey,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:baa4470efe9dadd891,not_confirmed_by_this_audit,True,,,,,
finding:47ac422bc209d69dc9,10.7759/cureus.79308,DMT,Post-traumatic stress disorder,clinical_outcome,primary_evidence,,Prolonged recreational intravenous DMT use was associated with the development of persistent delusional parasitosis (conviction of worm infestation) in a patient with pre-existing PTSD and MDD.,Clinical psychiatric evaluation and dermatological assessment,60-year-old female military veteran with chronic PTSD and major depressive disorder,Case Report,main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""DMT"", ""reason"": ""controlled_atomic_compound""}]",,proposition:a3703ba80a5544aef2,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:b45fa43772af4c4443,10.7759/cureus.79308,DMT,Major depressive disorder,clinical_outcome,primary_evidence,,Prolonged recreational intravenous DMT use was associated with the development of persistent delusional parasitosis (conviction of worm infestation) in a patient with pre-existing PTSD and MDD.,Clinical psychiatric evaluation and dermatological assessment,60-year-old female military veteran with chronic PTSD and major depressive disorder,Case Report,main_graph,condition_indication,primary_study,condition_text_split,"[{""kind"": ""atomic_compound"", ""label"": ""DMT"", ""reason"": ""controlled_atomic_compound""}]",,proposition:717de2258b5a3431bf,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:cbaf66b4a408439854,10.1177/02698811211055809,MDMA,Alcohol use disorder,clinical_outcome,primary_evidence,,"Participants maintained a positive mood during the week following clinical MDMA administration, with no evidence of the 'Blue Monday' mood drop typically associated with recreational use.",Self-reported mood,Alcohol use disorder (AUD),open-label study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""MDMA"", ""reason"": ""controlled_atomic_compound""}]",,proposition:5f0f8aeed0e6daa591,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:e4ec55a9ed1471a2ed,10.9740/mhc.2021.07.259,S-ketamine,Bipolar disorder,clinical_outcome,primary_evidence,,"In a patient with treatment-resistant bipolar depression, intranasal esketamine induction led to a complete resolution of depressive symptoms (PHQ-9 score of 0) by week 4 without inducing mania.",Patient Health Questionnaire (PHQ-9),63-year-old male with bipolar 1 disorder and treatment-resistant depression on lurasidone and bupropion,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:f78e99ecd2a263c21f,not_confirmed_by_this_audit,True,,,,,
finding:9978846f6e3328d54b,10.1038/s41398-026-04032-3,S-ketamine,Major depressive disorder,clinical_outcome,primary_evidence,,Esketamine use was associated with a sustained lower risk of suicide-related events over a 2-year follow-up period.,"Composite of suicide-related events (suicidal ideation, suicide attempt, and intentional self-harm)",Adults with MDD requiring inpatient care,Target trial simulation using real-world data (propensity-score matched),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:bd8f3e15824ec3ccb8,not_confirmed_by_this_audit,True,,,,,
finding:3fd0dc04bbd105fca2,10.1097/adm.0000000000000734,LSD,Post-traumatic stress disorder,clinical_outcome,primary_evidence,,"A young man developed posttraumatic stress disorder after a psychedelic experience involving LSD and DMT, during which a repressed memory of childhood sexual abuse was recovered.",Clinical diagnosis of PTSD,Young man with a history of repressed childhood sexual abuse,Case Report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""LSD"", ""reason"": ""focal_compound_with_exposure_detail""}]",,proposition:642fd8f0f099e04182,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:2b73f2bd47c5d8ce12,10.3389/fpsyt.2023.1287196,Classic psychedelics,Alcohol use disorder,clinical_outcome,primary_evidence,,The majority of participants with alcohol abuse or addiction reported improvements following their psychedelic experience.,Self-perceived change in symptoms,Norwegian internet convenience sample with a history of alcohol abuse,Anonymous internet survey (cross-sectional),main_graph,condition_indication,primary_study,,"[{""kind"": ""compound_class"", ""label"": ""Classic psychedelics"", ""reason"": ""controlled_compound_class""}]",,proposition:8f7693ac948977bc32,not_confirmed_by_this_audit,True,,,,,
finding:f74ac8dbdce57bf4e2,10.1016/0014-2999(96)00304-4,Ibogaine,Opioid use disorder,cognitive_behavioral,primary_evidence,,"Ibogaine, but not its analogs O-desmethylibogaine or O-t-butyl-O-desmethylibogaine, significantly attenuated naloxone-precipitated withdrawal jumping in morphine-dependent mice.",naloxone precipitated withdrawal jumping,Morphine-dependent mice,Preclinical experiment,main_graph,condition_indication,primary_study,behavioral_withdrawal_condition_boundary,"[{""kind"": ""atomic_compound"", ""label"": ""Ibogaine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:6c0171227c8250fc89,not_confirmed_by_this_audit,True,,,,,
finding:f606fa34920ce91cc6,10.1016/j.pbb.2020.172927,R-ketamine,Opioid use disorder,cognitive_behavioral,primary_evidence,,R-(−)-ketamine alleviated naloxone-precipitated withdrawal signs in morphine-dependent rats.,naloxone-precipitated withdrawal signs,morphine-dependent rats,preclinical experiment,main_graph,condition_indication,primary_study,behavioral_withdrawal_condition_boundary,"[{""kind"": ""atomic_compound"", ""label"": ""R-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:6e1c7578c38123830e,not_confirmed_by_this_audit,True,,,,,
finding:581dd87095a1f600c3,10.1111/j.1464-410x.2011.10780.x,Ketamine,Ketamine-associated uropathy,clinical_outcome,primary_evidence,,Patients with ketamine cystitis had significantly higher interstitial cystitis symptom and problem scores compared to controls.,O'Leary-Sant Interstitial Cystitis Symptom Index (ICSI) and Problem Index (ICPI),Women with ketamine cystitis,Case-control study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:dc31604e15eded6a0e,high_confidence_semantic_misclassification,True,ketamine_uropathy_in_conditions,Safety; management findings may need paper detail or Intervention context,"Ketamine is the harmful exposure or cause of the sampled uropathy. Bladder pathology and outcomes of cessation, surgery or other drugs do not establish ketamine as its treatment.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:316b44c4d7faa0ee75,10.1371/journal.pone.0279073,Psilocybin,Bipolar disorder,clinical_outcome,primary_evidence,,"Multiple participants reported that psilocybin use precipitated hypomanic or manic episodes, with some describing a 'psychedelic hangover' that manifested as mania.",Semi-structured qualitative interviews,Adults with confirmed DSM-5 diagnosis of Bipolar Type I or II,Qualitative follow-up study (Phase II) using semi-structured interviews,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Psilocybin"", ""reason"": ""controlled_atomic_compound""}]",,proposition:23e5194efecec4deb7,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:2305b830cbde3621fd,10.7759/cureus.69407,2C-B,Bipolar I disorder,clinical_outcome,primary_evidence,,"A 22-year-old female with bipolar I disorder experienced agitation, aggression, visual hallucinations, euphoria, and increased heart rate following recreational use of 2C. The patient presented with worsening mood symptoms, impulsivity, and irritability, requiring inpatient psychiatric stabilization.",Clinical psychiatric evaluation,22-year-old female with comorbid cocaine use disorder,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""2C-B"", ""reason"": ""focal_compound_with_exposure_detail""}]",,proposition:ee3760564e6f0e8d72,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:6e843d5663cfc21329,10.1016/j.psycr.2024.100236,S-ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,A 55-year-old male with TRD and no history of psychosis developed an acute transient psychotic episode 48 hours after esketamine administration.,Clinical observation and emergency intervention,55-year-old male with no history of psychosis or substance abuse,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:6e44062a6ccea82ba8,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:0d611fc8d5aca04af2,10.1192/bjo.2025.10711,Ketamine,Treatment-resistant depression,clinical_outcome,primary_evidence,,"A 28-year-old female receiving therapeutic ketamine for depression developed ketamine-induced cystitis (KIC), confirmed by urine analysis, presenting with lower urinary tract symptoms (LUTS).","Urine microscopy, culture and analysis",28-year-old female,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:cd76df15f8edb06916,high_confidence_semantic_misclassification,True,safety_in_conditions,Safety (or Real-world for exposure-risk associations),"Statement concerns an adverse event, risk, contraindication, abuse liability, or absence of an adverse event; the condition is not the therapeutic endpoint of this finding. Preserve uncertainty, null results and retraction status.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:130fcd603051ee492d,10.1186/s12991-020-00269-4,MDMA,Substance use disorder,clinical_outcome,primary_evidence,,"Compared to patients who used ketamine, those who used MDMA or methamphetamine had a significantly higher risk of relapse over a 5-year follow-up period following a family-oriented therapy program.",Urine drug testing and court records,Youths (mean age 16.2) arrested for substance use,Prospective longitudinal follow-up study,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""MDMA"", ""reason"": ""focal_compound_with_exposure_detail""}]",,proposition:be0b97f35c5231ac82,high_confidence_semantic_misclassification,True,exposure_context_in_conditions,Real-world / paper detail,"Finding describes exposure patterns or a substance-use cohort, not a therapeutic effect of the displayed compound on the condition.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:a1658927255b69c72f,10.1016/s0014-2999(97)01099-6,Ketamine,Opioid use disorder,cognitive_behavioral,primary_evidence,,"Ketamine reduced the intensity of morphine tolerance, physical dependence, and the expression of abstinence behavior during naloxone-precipitated withdrawal.",abstinence behaviour,mice,preclinical experiment,main_graph,condition_indication,primary_study,behavioral_withdrawal_condition_boundary,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:3bcadfa80759d026bf,not_confirmed_by_this_audit,True,,,,,
finding:7f5b14b0ab2db6fe96,10.4103/0019-5545.166627,Ketamine,Major depressive disorder,clinical_outcome,primary_evidence,,"A 65-year-old patient with treatment-resistant late-onset depression achieved remission (HAMD < 7) following four ketamine infusions, which was maintained for one year while continuing agomelatine.",Hamilton Rating Scale for Depression (HAMD),65-year-old female with late onset treatment-resistant depression,Case report,main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:c24084220a4c1eec89,not_confirmed_by_this_audit,True,,,,,
finding:efb64c70f5e10a646f,10.1007/s40261-022-01193-z,S-ketamine,Suicidality,clinical_outcome,primary_evidence,,"Repeated subcutaneous esketamine administration significantly reduced suicidality scores in patients with MDD and bipolar depression, with rapid onset observed 24 hours after the first dose and further reduction with repeated dosing.",Montgomery-Åsberg Depression Rating Scale (MADRS) item 10,Acutely depressed subjects diagnosed with resistant major depressive disorder or bipolar depression,Real-world study (repeated administration),main_graph,condition_indication,primary_study,,"[{""kind"": ""atomic_compound"", ""label"": ""S-ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:0cee7fa88016780641,not_confirmed_by_this_audit,True,,,,,
finding:71c5c48d2ad2d437d4,10.1007/s43440-023-00546-5,Classic psychedelics,Schizophrenia,clinical_outcome,secondary_literature,condition,"Psychedelics induce transient psychosis-like symptoms, sensorimotor gating (PPI) impairments, and working memory deficits that resemble the positive and cognitive symptoms of schizophrenia.",,,,main_graph,condition_indication,review,,"[{""kind"": ""compound_class"", ""label"": ""Classic psychedelics"", ""reason"": ""controlled_serotonergic_psychedelic_class""}]",,proposition:27d8375f3827811c6a,high_confidence_semantic_misclassification,True,disease_model_in_conditions,Cognition / psychotomimetic effects; Safety for exacerbation in patients,"The compound is used to produce or investigate schizophrenia-like symptoms, not treat schizophrenia.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:a1337436e3aabafe8c,10.12809/hkmj177086,Ketamine,Ketamine-associated uropathy,clinical_outcome,secondary_literature,condition,"Chronic ketamine abuse causes a distinct urological syndrome characterized by lower-urinary tract symptoms (LUTS) such as frequency, urgency, and painful haematuria, which can progress to upper-urinary tract pathology like hydronephrosis.",,,,main_graph,condition_indication,review,,"[{""kind"": ""atomic_compound"", ""label"": ""Ketamine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:8bedcec41e58489e3b,high_confidence_semantic_misclassification,True,ketamine_uropathy_in_conditions,Safety; management findings may need paper detail or Intervention context,"Ketamine is the harmful exposure or cause of the sampled uropathy. Bladder pathology and outcomes of cessation, surgery or other drugs do not establish ketamine as its treatment.",manual semantic review of saved finding and metadata; not independent full-text re-extraction,
finding:b0930c0d5b483a31c8,10.1111/j.1749-6632.2002.tb04149.x,Ibogaine,Substance use disorder,clinical_outcome,secondary_literature,condition,"Ibogaine is proposed to signal addiction gene products, potentially influencing immediate early genes (IEGs) regulated by substances of abuse.",,,,main_graph,condition_indication,review,,"[{""kind"": ""atomic_compound"", ""label"": ""Ibogaine"", ""reason"": ""controlled_atomic_compound""}]",,proposition:17231a2ca29c4b2514,high_confidence_semantic_misclassification,True,mechanism_in_conditions,Molecular effects,Finding concerns addiction-related gene signaling rather than a measured therapeutic outcome.,manual semantic review of saved finding and metadata; not independent full-text re-extraction,
