# query|compound|entity
Psilocybin Persistent depressive disorder clinical trial|Psilocybin|Persistent depressive disorder
Psilocybin Persistent depressive disorder randomized placebo|Psilocybin|Persistent depressive disorder
Psilocybin Persistent depressive disorder treatment outcome|Psilocybin|Persistent depressive disorder
Psilocybin Post-traumatic stress disorder clinical trial|Psilocybin|Post-traumatic stress disorder
Psilocybin Post-traumatic stress disorder randomized placebo|Psilocybin|Post-traumatic stress disorder
Psilocybin Post-traumatic stress disorder treatment outcome|Psilocybin|Post-traumatic stress disorder
Psilocybin Complex post-traumatic stress disorder clinical trial|Psilocybin|Complex post-traumatic stress disorder
Psilocybin Complex post-traumatic stress disorder randomized placebo|Psilocybin|Complex post-traumatic stress disorder
Psilocybin Complex post-traumatic stress disorder treatment outcome|Psilocybin|Complex post-traumatic stress disorder
Psilocybin Alcohol use disorder clinical trial|Psilocybin|Alcohol use disorder
Psilocybin Alcohol use disorder randomized placebo|Psilocybin|Alcohol use disorder
Psilocybin Alcohol use disorder treatment outcome|Psilocybin|Alcohol use disorder
Psilocybin Tobacco use disorder clinical trial|Psilocybin|Tobacco use disorder
Psilocybin Tobacco use disorder randomized placebo|Psilocybin|Tobacco use disorder
Psilocybin Tobacco use disorder treatment outcome|Psilocybin|Tobacco use disorder
Psilocybin Nicotine dependence clinical trial|Psilocybin|Nicotine dependence
Psilocybin Nicotine dependence randomized placebo|Psilocybin|Nicotine dependence
Psilocybin Nicotine dependence treatment outcome|Psilocybin|Nicotine dependence
Psilocybin Opioid use disorder clinical trial|Psilocybin|Opioid use disorder
Psilocybin Opioid use disorder randomized placebo|Psilocybin|Opioid use disorder
Psilocybin Opioid use disorder treatment outcome|Psilocybin|Opioid use disorder
Psilocybin Cannabis use disorder clinical trial|Psilocybin|Cannabis use disorder
Psilocybin Cannabis use disorder randomized placebo|Psilocybin|Cannabis use disorder
Psilocybin Cannabis use disorder treatment outcome|Psilocybin|Cannabis use disorder
Psilocybin Cocaine use disorder clinical trial|Psilocybin|Cocaine use disorder
Psilocybin Cocaine use disorder randomized placebo|Psilocybin|Cocaine use disorder
Psilocybin Cocaine use disorder treatment outcome|Psilocybin|Cocaine use disorder
Psilocybin Methamphetamine use disorder clinical trial|Psilocybin|Methamphetamine use disorder
Psilocybin Methamphetamine use disorder randomized placebo|Psilocybin|Methamphetamine use disorder
Psilocybin Methamphetamine use disorder treatment outcome|Psilocybin|Methamphetamine use disorder
Psilocybin Stimulant use disorder clinical trial|Psilocybin|Stimulant use disorder
Psilocybin Stimulant use disorder randomized placebo|Psilocybin|Stimulant use disorder
Psilocybin Stimulant use disorder treatment outcome|Psilocybin|Stimulant use disorder
Psilocybin Substance use disorder clinical trial|Psilocybin|Substance use disorder
Psilocybin Substance use disorder randomized placebo|Psilocybin|Substance use disorder
Psilocybin Substance use disorder treatment outcome|Psilocybin|Substance use disorder
Psilocybin Generalized anxiety disorder clinical trial|Psilocybin|Generalized anxiety disorder
Psilocybin Generalized anxiety disorder randomized placebo|Psilocybin|Generalized anxiety disorder
Psilocybin Generalized anxiety disorder treatment outcome|Psilocybin|Generalized anxiety disorder
Psilocybin Social anxiety disorder clinical trial|Psilocybin|Social anxiety disorder
Psilocybin Social anxiety disorder randomized placebo|Psilocybin|Social anxiety disorder
Psilocybin Social anxiety disorder treatment outcome|Psilocybin|Social anxiety disorder
Psilocybin Distress associated with life-threatening disease clinical trial|Psilocybin|Distress associated with life-threatening disease
Psilocybin Distress associated with life-threatening disease randomized placebo|Psilocybin|Distress associated with life-threatening disease
Psilocybin Distress associated with life-threatening disease treatment outcome|Psilocybin|Distress associated with life-threatening disease
Psilocybin Obsessive-compulsive disorder clinical trial|Psilocybin|Obsessive-compulsive disorder
Psilocybin Obsessive-compulsive disorder randomized placebo|Psilocybin|Obsessive-compulsive disorder
Psilocybin Obsessive-compulsive disorder treatment outcome|Psilocybin|Obsessive-compulsive disorder
Psilocybin Eating disorders clinical trial|Psilocybin|Eating disorders
Psilocybin Eating disorders randomized placebo|Psilocybin|Eating disorders
Psilocybin Eating disorders treatment outcome|Psilocybin|Eating disorders
Psilocybin Anorexia nervosa clinical trial|Psilocybin|Anorexia nervosa
Psilocybin Anorexia nervosa randomized placebo|Psilocybin|Anorexia nervosa
Psilocybin Anorexia nervosa treatment outcome|Psilocybin|Anorexia nervosa
Psilocybin Bulimia nervosa clinical trial|Psilocybin|Bulimia nervosa
Psilocybin Bulimia nervosa randomized placebo|Psilocybin|Bulimia nervosa
Psilocybin Bulimia nervosa treatment outcome|Psilocybin|Bulimia nervosa
Psilocybin Binge-eating disorder clinical trial|Psilocybin|Binge-eating disorder
Psilocybin Binge-eating disorder randomized placebo|Psilocybin|Binge-eating disorder
Psilocybin Binge-eating disorder treatment outcome|Psilocybin|Binge-eating disorder
Psilocybin Autism spectrum disorder clinical trial|Psilocybin|Autism spectrum disorder
Psilocybin Autism spectrum disorder randomized placebo|Psilocybin|Autism spectrum disorder
