dataset,row_index,study_doi,study_title,study_year,has_abstract,pdf_download_status,deterministic_prescreen_action,deterministic_prescreen_reason,retained_for_llm,candidate_context_count,heuristic_relevance,heuristic_screening_status,heuristic_matched_context_count
disorder,4016,10.1002/da.22227,"NEUROBIOLOGY OF STRESS, DEPRESSION, AND RAPID ACTING ANTIDEPRESSANTS: REMODELING SYNAPTIC CONNECTIONS",2014,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4048,10.1002/da.23065,Historic psychedelic drug trials and the treatment of anxiety disorders,2020,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4061,10.1002/dta.2245,Study of the <i>in vitro</i> and <i>in vivo</i> metabolism of the tryptamine 5‐MeO‐MiPT using human liver microsomes and real case samples,2017,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4080,10.1002/eat.23283,Severe and enduring anorexia nervosa: Update and observations about the current clinical reality,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,4187,10.1002/ejp.1703,Preoperative risk factors associated with chronic pain profiles following total knee arthroplasty,2020,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4220,10.1002/erv.3101,Perspectives and preliminary experiences of psychedelics for the treatment of eating disorders: A systematic scoping review,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4236,10.1002/fhu2.70004,The Birth of the Psychedelic Industry: Capitalising on the Psychedelic Renaissance,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4240,10.1002/gps.5964,"Change in patient‐centered outcomes of psychological well‐being, sleep, and suicidality following treatment with intravenous ketamine for late‐life treatment‐resistant depression",2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4242,10.1002/hbm.22519,"Voxelwise lp‐ntPET for detecting localized, transient dopamine release of unknown timing: Sensitivity Analysis and Application to Cigarette Smoking in the PET Scanner",2014,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4246,10.1002/hbm.24895,Modulation of amygdala reactivity following rapidly acting interventions for major depression,2020,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4259,10.1002/hup.2602,Novel psychoactive substance use among treatment‐seeking opiate users: The role of life events and psychiatric symptoms,2017,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4263,10.1002/hup.2824,"Potential processes of change in MDMA‐Assisted therapy for social anxiety disorder: Enhanced memory reconsolidation, self‐transcendence, and therapeutic relationships",2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4272,10.1002/jac5.1841,A regulatory framework review of <scp>Schedule I</scp> psychedelics in the United States,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4293,10.1002/jcph.1920,Ketamine for Refractory Chronic Migraine: An Observational Pilot Study and Metabolite Analysis,2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4304,10.1002/jia2.25250,Patterns and clinical consequences of discontinuing <scp>HIV</scp> preexposure prophylaxis during primary care,2019,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4308,10.1002/joa3.12061,Cardiac arrest after ibogaine intoxication,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4310,10.1002/jppr.1921,"3,<scp>4‐methylenedioxymethamphetamine (MDMA)‐assisted</scp> psychotherapy: what the pharmacist needs to know",2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4320,10.1002/mds.21029,Effects of levodopa and subthalamic nucleus stimulation on cognitive and affective functioning in Parkinson's disease,2006,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,4325,10.1002/med.22042,Beyond dopamine: Novel strategies for schizophrenia treatment,2024,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4333,10.1002/mhw.34150,Much anticipated FDA decision about psychedelics for PTSD ends with denial,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4334,10.1002/mhw.34292,Study finds encouraging results in psilocybin treatment for TRD patients,2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4344,10.1002/npr2.12165,Functional connectivity between the amygdala and subgenual cingulate gyrus predicts the antidepressant effects of ketamine in patients with treatment‐resistant depression,2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4355,10.1002/pcn5.70088,Anhedonia: Current and future treatments,2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4381,10.1002/rmv.70036,"Emerging Viral Infections (ZIKV, SARS‐CoV‐2, and MPXV) and Depression: Ketamine and (S, R)‐Ketamine as Promising Antidepressants",2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4393,10.1002/vms3.70486,Evaluating the Potential of Microdosing 1cp‐LSD for the Treatment of Canine Anxiety: A One‐Month Case Study,2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4402,10.1002/wps.21034,"New insights from the last decade of research in psychiatric genetics: discoveries, challenges and clinical implications",2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,4410,10.1002/wps.21141,Treatment‐resistant depression: where to find hope?,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,4426,10.1007/7854_2020_202,Innovations in the Delivery of Exposure and Response Prevention for Obsessive-Compulsive Disorder,2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4430,10.1007/7854_2026_614,Classifying Psychedelic-Related Complications,2026,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4433,10.1007/978-3-030-42504-3_15,What Does Your Gaze Reveal About You? On the Privacy Implications of Eye Tracking,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4441,10.1007/978-981-95-6872-7_23,New Antidepressant Development in the Treatment of Depression.,2026,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4445,10.1007/bf03016530,Systemic ketamine inhibits hypersensitivity after surgery via descending inhibitory pathways in rats,2005,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4448,10.1007/bf03379605,Rapid Relief of Treatment Resistant Depression by Facilitated Ketamine Infusion: A Preliminary Report,2014,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4492,10.1007/s00213-003-1640-6,"Acute psychological and physiological effects of psilocybin in healthy humans: a double-blind, placebo-controlled dose?effect study",2004,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4495,10.1007/s00213-006-0576-z,"The effects of fluoxetine on the subjective and physiological effects of 3,4-methylenedioxymethamphetamine (MDMA) in humans",2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4496,10.1007/s00213-007-0792-1,Incidental use of ecstasy: no evidence for harmful effects on cognitive brain function in a prospective fMRI study,2007,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4509,10.1007/s00213-014-3669-0,"D-serine plasma concentration is a potential biomarker of (R,S)-ketamine antidepressant response in subjects with treatment-resistant depression",2014,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4527,10.1007/s00213-019-05380-3,"Locomotor effects of 3,4-methylenedioxymethamphetamine (MDMA) and its deuterated form in mice: psychostimulant effects, stereotypy, and sensitization",2019,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4546,10.1007/s00213-023-06333-7,The effect of SSRIs on fear learning: a systematic review and meta-analysis,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,4550,10.1007/s00213-023-06479-4,Effects of a dissociative drug on fronto-limbic resting-state functional connectivity in individuals with posttraumatic stress disorder: a randomized controlled pilot study,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4566,10.1007/s00213-025-06974-w,Ketamine attenuates anxiety-like behavior and oxidative imbalance in the maternal immune activation model: emphasis on the cerebellum.,2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4589,10.1007/s00406-020-01103-4,"Efficacy of anticonvulsant ethosuximide for major depressive disorder: a randomized, placebo-control clinical trial.",2021,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4604,10.1007/s00406-024-01809-9,Ketamine and its enantiomers for depression: a bibliometric analysis from 2000 to 2023.,2025,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4610,10.1007/s00414-025-03439-9,Fatal intoxications and inherited cardiac disorders in the young: where to draw the line?,2025,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4628,10.1007/s00482-016-0111-z,Ketamin i. v. zur Behandlung von Clusterkopfschmerz,2016,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4640,10.1007/s00520-026-10693-z,Anything that helps: cancer patient and carer perspectives on psychedelic-assisted therapy,2026,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4719,10.1007/s10597-010-9368-3,Mental Health and Substance Abuse Characteristics Among a Clinical Sample of Urban American Indian/Alaska Native Youths in a Large California Metropolitan Area: a Descriptive Study,2010,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4721,10.1007/s10608-006-9058-1,The Short Health Anxiety Inventory: Psychometric Properties and Construct Validity in a Non-clinical Sample,2007,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4758,10.1007/s10879-018-9382-2,Correction to: Current Perspective on MDMA-Assisted Psychotherapy for Posttraumatic Stress Disorder,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4768,10.1007/s10943-019-00876-w,"Belief, Behavior, and Belonging: How Faith is Indispensable in Preventing and Recovering from Substance Abuse",2019,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4777,10.1007/s11095-009-9939-6,Pharmacokinetics and Safety in Rhesus Monkeys of a Monoclonal Antibody-GDNF Fusion Protein for Targeted Blood-Brain Barrier Delivery,2009,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4780,10.1007/s11101-023-09901-z,Emerging functions within the enzyme families of plant alkaloid biosynthesis,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4808,10.1007/s11469-023-01163-2,"Comparing Substance Use Consequences between Serotonergic Psychedelics, MDMA, and other Drugs of Abuse Among United States Adults with History of Psychiatric Illness",2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4812,10.1007/s11524-006-9057-2,Prevalence and Predictors of Club Drug Use among Club-Going Young Adults in New York City,2006,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4817,10.1007/s11606-020-06504-8,"Cannabidiol Interactions with Medications, Illicit Substances, and Alcohol: a Comprehensive Review",2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,4839,10.1007/s11912-023-01373-w,Recent Progress in Mind–Body Therapies in Cancer Care,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4858,10.1007/s11920-026-01679-z,Psilocybin-Assisted Therapy for Adolescent Anorexia Nervosa: Clinical Considerations and Emerging Models of Care,2026,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4863,10.1007/s12012-016-9366-y,Anti-addiction Drug Ibogaine Prolongs the Action Potential in Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes,2016,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4869,10.1007/s12033-023-00994-7,Unveiling the Psychedelic Journey: An Appraisal of Psilocybin as a Profound Antidepressant Therapy,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4879,10.1007/s12144-024-07017-x,Pattern of psychedelic substance use: a comparison between populations in Spain and South America using the Psychedelic Use Scale (PUS),2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4883,10.1007/s12264-023-01129-3,Memory Trace for Fear Extinction: Fragile yet Reinforceable,2023,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4903,10.1007/s12630-015-0499-4,Potential strategies for preventing chronic postoperative pain: a practical approach: Continuing Professional Development,2015,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4904,10.1007/s12630-023-02398-2,A prospective observational study of the efficacy of ketamine for rescue analgesia in the postanesthesia recovery unit,2023,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4907,10.1007/s12671-017-0849-0,"Additive Effects of 3,4-Methylenedioxymethamphetamine (MDMA) and Compassionate Imagery on Self-Compassion in Recreational Users of Ecstasy",2017,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4927,10.1007/s13311-018-0616-5,Glutamate and Its Receptors as Therapeutic Targets for Migraine,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,4931,10.1007/s13311-020-00899-2,Managing Essential Tremor,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,4982,10.1007/s40211-020-00384-4,Zur Komorbidität von Posttraumatischer Belastungsstörung und Sucht in biopsychosozialer Perspektive,2021,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,5005,10.1007/s40263-019-00618-2,Expanding Role of NMDA Receptor Antagonists in the Management of Pain,2019,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5055,10.1007/s40501-015-0051-8,Glutamatergic agents for OCD and related disorders,2015,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5057,10.1007/s40501-020-00203-1,Predicting and Managing Treatment Non-response in Posttraumatic Stress Disorder,2020,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5061,10.1007/s40519-022-01455-x,Ketogenic diet and ketamine infusion treatment to target chronic persistent eating disorder psychopathology in anorexia nervosa: a pilot study,2022,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5101,10.1016/0006-8993(94)91538-5,Inhibition of opiate tolerance by non-competitive N-d-aspartate receptor antagonists,1994,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5104,10.1016/0740-5472(92)90062-s,The fifth edition of the addiction severity index,1992,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,5108,10.1016/0893-133x(94)00131-i,Subanesthetic Doses of Ketamine Stimulate Psychosis in Schizophrenia,1995,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5180,10.1016/j.accpm.2015.04.005,"Ketamine for pain management in France, an observational survey",2015,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5190,10.1016/j.addr.2022.114531,Liposomal formulations for treating lysosomal storage disorders,2022,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5192,10.1016/j.aimed.2020.07.004,The effect of Echinacea spp. on the prevention or treatment of COVID-19 and other respiratory tract infections in humans: A rapid review,2020,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; no dataset entity terms found.,False,0,,,
disorder,5209,10.1016/j.amepre.2014.06.012,Existing and Novel Biological Therapeutics in Suicide Prevention,2014,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5213,10.1016/j.annemergmed.2016.08.009,Comparison of Etomidate and Ketamine for Induction During Rapid Sequence Intubation of Adult Trauma Patients,2016,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5217,10.1016/j.annemergmed.2024.06.025,Clinical Effects of Psychedelic Substances Reported to United States Poison Centers: 2012 to 2022,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5233,10.1016/j.bbapap.2018.03.006,"d -Serine is a potential biomarker for clinical response in treatment of post-traumatic stress disorder using ( R , S )-ketamine infusion and TIMBER psychotherapy: A pilot study",2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5240,10.1016/j.bbr.2019.111928,Long-lasting effects of repeated ketamine administration in adult and adolescent rats,2019,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5245,10.1016/j.bbr.2021.113546,"Ayahuasca, a psychedelic beverage, modulates neuroplasticity induced by ethanol in mice",2021,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5246,10.1016/j.bbr.2021.113651,Antipanic-like effect of esketamine and buprenorphine in rats exposed to acute hypoxia,2021,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5251,10.1016/j.bcp.2015.03.011,Emerging mechanisms and treatments for depression beyond SSRIs and SNRIs,2015,True,no_pdf_url,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5270,10.1016/j.biopsych.2012.05.028,Effects of Ketamine in Treatment-Refractory Obsessive-Compulsive Disorder,2012,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5271,10.1016/j.biopsych.2012.06.022,Rapid and Longer-Term Antidepressant Effects of Repeated Ketamine Infusions in Treatment-Resistant Major Depression,2012,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5283,10.1016/j.biopsych.2016.12.031,Targeting the Microbiota-Gut-Brain Axis: Prebiotics Have Anxiolytic and Antidepressant-like Effects and Reverse the Impact of Chronic Stress in Mice,2017,True,skipped,exclude_obvious_irrelevant,No in-scope psychedelic/ketamine/entactogen/dissociative compound or intervention term appears in the title/abstract; dataset entity terms present.,False,0,,,
disorder,5297,10.1016/j.biopsych.2024.09.008,Ketamine and Hydroxynorketamine as Novel Pharmacotherapies for the Treatment of Opioid Use Disorders,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5301,10.1016/j.bja.2018.02.021,Esketamine counters opioid-induced respiratory depression,2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5302,10.1016/j.bja.2018.03.030,"Intraoperative ketamine for prevention of depressive symptoms after major surgery in older adults: an international, multicentre, double-blind, randomised clinical trial",2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5303,10.1016/j.bja.2018.03.039,"Comparison of nebulised dexmedetomidine, ketamine, or midazolam for premedication in preschool children undergoing bone marrow biopsy",2018,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5305,10.1016/j.bja.2020.06.067,"Pharmacokinetics of ketamine and its major metabolites norketamine, hydroxynorketamine, and dehydronorketamine: a model-based analysis",2020,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
disorder,5309,10.1016/j.bja.2024.03.012,The impact of perioperative ketamine or esketamine on the subjective quality of recovery after surgery: a meta-analysis of randomised controlled trials,2024,True,skipped,escalate,in-scope compound/intervention term appears in title or abstract,True,0,,,
