abstract,action_reason,authors,best_pdf_url,contexts,last_checked_utc,library_status,metadata_lookup_error,open_access_is_oa,open_access_status,open_access_url,openalex_id,pdf_download_status,pdf_local_path,pdf_sha256,pdf_size_bytes,study_doi,study_title,study_year
,triage_excluded_irrelevant,Nicole Leite Galvão‐Coelho; Wolfgang Marx; Maria Gonzalez; Justin Sinclair; Michael de Manincor; Daniel Perkins; Jerome Sarris,https://link.springer.com/content/pdf/10.1007/s00213-020-05719-1.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""Classic serotonergic psychedelics for mood and depressive symptoms: a meta-analysis of mood disorder patients and healthy participants"", ""study_year"": ""2021""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-020-05719-1.pdf,https://openalex.org/W3120778817,pruned_irrelevant,,,,10.1007/s00213-020-05719-1,Classic serotonergic psychedelics for mood and depressive symptoms: a meta-analysis of mood disorder patients and healthy participants,2021
,triage_excluded_irrelevant,Rosalind Watts; Hannes Kettner; Dana Geerts; Sam Gandy; Laura Kärtner; Lea J. Mertens; Christopher Timmermann; Matthew M. Nour; Mendel Kaelen; David Nutt,https://link.springer.com/content/pdf/10.1007/s00213-022-06187-5.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""The Watts Connectedness Scale: a new scale for measuring a sense of connectedness to self, others, and world"", ""study_year"": ""2022""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-022-06187-5.pdf,https://openalex.org/W4290631853,pruned_irrelevant,,,,10.1007/s00213-022-06187-5,"The Watts Connectedness Scale: a new scale for measuring a sense of connectedness to self, others, and world",2022
,triage_excluded_irrelevant,Alisha M. Bruton; Dalton G. Wesemann; Taryn A. Machingo; Gop Majak; Jeanette M. Johnstone; Rebecca Marshall,https://pmc.ncbi.nlm.nih.gov/articles/PMC12208172/pdf/nihms-2008752.pdf,"[{""compound"": ""S-ketamine"", ""entity"": ""Major depressive disorder"", ""study_title"": ""Ketamine for mood disorders, anxiety, and suicidality in children and adolescents: a systematic review"", ""study_year"": ""2024""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC12208172/pdf/nihms-2008752.pdf,https://openalex.org/W4396973438,pruned_irrelevant,,,,10.1007/s00787-024-02458-y,"Ketamine for mood disorders, anxiety, and suicidality in children and adolescents: a systematic review",2024
"Abstract Purpose Prior results from the registration system oncological gynecology (ROGY) care trial showed that survivorship care plans (SCPs) increased threatening illness perceptions in gynecological cancer survivors, but it remained unclear whether this would result in poorer physical and psychosocial outcomes. The aim of the current study is to assess the direct and indirect effects of SCPs on health-related quality of life (HRQoL) and anxiety and depression, through illness perceptions. Methods Twelve hospitals in the South of the Netherlands were randomized to providing ‘SCP care’ or ‘usual care.’ Newly diagnosed endometrial and ovarian cancer patients completed questionnaires after initial treatment (endometrial, 221 [75%]; ovarian, 174 [71%]) and after 6, 12, and 24 months. SCPs were automatically generated after initial treatment by the oncology providers through the web-based ROGY. Illness perceptions were measured after initial treatment and HRQoL and anxiety and depression after 6, 12, and 24 months. Results Structural equation models showed that endometrial cancer patients who experienced more symptoms or concern due to the SCP reported worse social functioning ( β = − 0.82; p = 0.01) and more fatigue, insomnia, pain, and anxiety ( β = 0.58–0.86, p &lt; 0.05) within 12 months after treatment. Ovarian cancer patients who had lower trust that the treatment would cure their disease due to the SCP reported worse emotional functioning 6 months after treatment ( β = 0.27, p = 0.02). Conclusions Current results show that SCPs may have negative effects on HRQoL and anxiety in patients who experience more threatening illness perceptions due to the SCP. We should be aware of the potential negative consequences of SCPs. Trial Registration clinicaltrials.gov Identifier: NCT01185626.",triage_excluded_irrelevant,Belle H. de Rooij; Nicole P. M. Ezendam; Kim A.H. Nicolaije; Paul Lodder; M. Caroline Vos; Johanna M.A. Pijnenborg; Dorry Boll; Roy F.P.M. Kruitwagen; Lonneke V. van de Poll‐Franse,https://link.springer.com/content/pdf/10.1007%2Fs11136-018-1825-4.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""Survivorship care plans have a negative impact on long-term quality of life and anxiety through more threatening illness perceptions in gynecological cancer patients: the ROGY care trial"", ""study_year"": ""2018""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs11136-018-1825-4.pdf,https://openalex.org/W2792950990,pruned_irrelevant,,,,10.1007/s11136-018-1825-4,Survivorship care plans have a negative impact on long-term quality of life and anxiety through more threatening illness perceptions in gynecological cancer patients: the ROGY care trial,2018
Group singing therapy reduces depressive symptoms and improves the quality of life of patients with stable COPD.,triage_excluded_irrelevant,Hua Liu; Mei Song; Zhonghui Zhai; Ruijie Shi; Xiaolan Zhou,https://link.springer.com/content/pdf/10.1007/s11136-018-2063-5.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""Group singing improves depression and life quality in patients with stable COPD: a randomized community-based trial in China"", ""study_year"": ""2019""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s11136-018-2063-5.pdf,https://openalex.org/W2908467008,pruned_irrelevant,,,,10.1007/s11136-018-2063-5,Group singing improves depression and life quality in patients with stable COPD: a randomized community-based trial in China,2019
"Abstract Purpose Anxiety, depression, poor sleep quality and lower quality of life (QOL) are associated with worse outcomes in heart failure (HF) patients. Motivational interview (MI) has been effective in different patient populations to promote self-care. However, its effect on anxiety, depression, sleep quality and QOL in HF patients is unknown. The aim of this study was to evaluate the effect of MI on anxiety, depression, sleep quality and QOL over 12 months from the intervention. Methods This was a planned, secondary outcome analysis of the MOTIVATE-HF study, a three-arm randomized controlled trial (1:1:1) evaluating the effect of MI in improving self-care in HF patients. In Arm 1, the patient received MI, while in Arm 2, the patient and the caregiver received MI. Arm 3, the control group, received standard treatment. Endpoints were evaluated with the Hospital Anxiety and Depression Scale (HADS), the Pittsburgh Sleep Quality Index (PSQI), the 12-Item Short-Form Health Survey (SF-12) and the Kansas City Cardiomyopathy Questionnaire (KCCQ) every three months for one year. Results We enrolled and randomized 510 HF patient and caregiver dyads (155 dyads in Arm 1, 177 dyads in Arm 2, and 178 dyads in Arm 3). A total of 238 HF patients and 235 caregivers completed the 12-month trial. No significant changes were seen in anxiety, depression and sleep quality over time among the three study arms, but disease-specific QOL improved in the intervention groups, especially in Arm 2. Conclusion Clinicians may want to include both patients and caregivers when providing MI interventions. Further research is needed to investigate the required intensity of MI to be effective on sleep quality, anxiety and depression (ClinicalTrials.gov Identifier: NCT02894502).",triage_excluded_irrelevant,Paola Rebora; Valentina Spedale; Giuseppe Occhino; Michela Luciani; Rosaria Alvaro; Ercole Vellone; Bárbara Riegel; Davide Ausili,https://link.springer.com/content/pdf/10.1007/s11136-021-02788-3.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""Effectiveness of motivational interviewing on anxiety, depression, sleep quality and quality of life in heart failure patients: secondary analysis of the MOTIVATE-HF randomized controlled trial"", ""study_year"": ""2021""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s11136-021-02788-3.pdf,https://openalex.org/W3131391387,pruned_irrelevant,,,,10.1007/s11136-021-02788-3,"Effectiveness of motivational interviewing on anxiety, depression, sleep quality and quality of life in heart failure patients: secondary analysis of the MOTIVATE-HF randomized controlled trial",2021
,triage_excluded_irrelevant,Serena Barello; Gloria Anderson; Marta Acampora; Caterina Bosio; Elena Guida; Vincenzo Irace; Carlo Guastoni; Barbara Bertani; Guendalina Graffigna,https://pmc.ncbi.nlm.nih.gov/articles/PMC10030538/pdf/11255_2022_Article_3374.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""The effect of psychosocial interventions on depression, anxiety, and quality of life in hemodialysis patients: a systematic review and a meta-analysis"", ""study_year"": ""2022""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://doi.org/10.1007/s11255-022-03374-3,https://openalex.org/W4298326352,pruned_irrelevant,,,,10.1007/s11255-022-03374-3,"The effect of psychosocial interventions on depression, anxiety, and quality of life in hemodialysis patients: a systematic review and a meta-analysis",2022
"Ulcerated lesions of the oral cavity have many underlying etiologic factors, most commonly infection, immune related, traumatic, or neoplastic. A detailed patient history is critical in assessing ulcerative oral lesions and should include a complete medical and medication history; whether an inciting or triggering trauma, condition, or medication can be identified; the length of time the lesion has been present; the frequency of episodes in recurrent cases; the presence or absence of pain; and the growth of the lesion over time. For multiple or recurrent lesions the presence or history of ulcers on the skin, genital areas, or eyes should be evaluated along with any accompanying systemic symptoms such as fever, arthritis, or other signs of underlying systemic disease. Biopsy may be indicated in many ulcerative lesions of the oral cavity although some are more suitable for clinical diagnosis. Neoplastic ulcerated lesions are notorious in the oral cavity for their ability to mimic benign ulcerative lesions, highlighting the essential nature of biopsy to establish a diagnosis in cases that are not clinically identifiable or do not respond as expected to treatment. Adjunctive tests may be required for final diagnosis of some ulcerated lesions especially autoimmune lesions. Laboratory tests or evaluation to rule out systemic disease may be also required for recurrent or severe ulcerations especially when accompanied by other symptoms. This discussion will describe the clinical and histopathologic characteristics of a variety of ulcerated lesions found in the oral cavity.",triage_excluded_irrelevant,Sarah Fitzpatrick; Donald M. Cohen; Ashley Clark,https://link.springer.com/content/pdf/10.1007/s12105-018-0981-8.pdf,"[{""compound"": ""MDMA"", ""entity"": ""Post-traumatic stress disorder"", ""study_title"": ""Ulcerated Lesions of the Oral Mucosa: Clinical and Histologic Review"", ""study_year"": ""2018""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,bronze,https://link.springer.com/content/pdf/10.1007/s12105-018-0981-8.pdf,https://openalex.org/W2898966639,pruned_irrelevant,,,,10.1007/s12105-018-0981-8,Ulcerated Lesions of the Oral Mucosa: Clinical and Histologic Review,2018
,triage_excluded_irrelevant,Matthew W. Johnson; Roland R. Griffiths,https://link.springer.com/content/pdf/10.1007/s13311-017-0542-y.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""Potential Therapeutic Effects of Psilocybin"", ""study_year"": ""2017""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,bronze,https://link.springer.com/content/pdf/10.1007/s13311-017-0542-y.pdf,https://openalex.org/W2622982732,pruned_irrelevant,,,,10.1007/s13311-017-0542-y,Potential Therapeutic Effects of Psilocybin,2017
,triage_excluded_irrelevant,Emmanuelle A. D. Schindler; R. Andrew Sewell; Christopher Gottschalk; Christina Luddy; L. Taylor Flynn; Hayley Lindsey; Brian Pittman; Nicholas V. Cozzi; Deepak Cyril D’Souza,https://link.springer.com/content/pdf/10.1007/s13311-020-00962-y.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""Exploratory Controlled Study of the Migraine-Suppressing Effects of Psilocybin"", ""study_year"": ""2020""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,bronze,https://link.springer.com/content/pdf/10.1007/s13311-020-00962-y.pdf,https://openalex.org/W3105240299,pruned_irrelevant,,,,10.1007/s13311-020-00962-y,Exploratory Controlled Study of the Migraine-Suppressing Effects of Psilocybin,2020
"NCT02308969, NCT01878942.",triage_excluded_irrelevant,Patrick C. Dolder; Yasmin Schmid; Andrea E. Steuer; Thomas Kræmer; Katharina Rentsch; Felix Hammann; Matthias E. Liechti,https://link.springer.com/content/pdf/10.1007%2Fs40262-017-0513-9.pdf,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide in Healthy Subjects"", ""study_year"": ""2017""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs40262-017-0513-9.pdf,https://openalex.org/W2589071607,pruned_irrelevant,,,,10.1007/s40262-017-0513-9,Pharmacokinetics and Pharmacodynamics of Lysergic Acid Diethylamide in Healthy Subjects,2017
"This review demonstrates how qualitative research of psychedelic treatments can contribute to distinguishing specific features of specific substances, and carry otherwise undiscovered implications for the treatment of specific psychiatric disorders.",triage_excluded_irrelevant,Joost J. Breeksema; Alistair Niemeijer; Erwin Krediet; Eric Vermetten; Robert A. Schoevers,https://link.springer.com/content/pdf/10.1007/s40263-020-00748-y.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""Psychedelic Treatments for Psychiatric Disorders: A Systematic Review and Thematic Synthesis of Patient Experiences in Qualitative Studies"", ""study_year"": ""2020""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s40263-020-00748-y.pdf,https://openalex.org/W3049156731,pruned_irrelevant,,,,10.1007/s40263-020-00748-y,Psychedelic Treatments for Psychiatric Disorders: A Systematic Review and Thematic Synthesis of Patient Experiences in Qualitative Studies,2020
,triage_excluded_irrelevant,Malia A. Belnap; Kaitlin R. McManus; Erica N. Grodin; Lara A. Ray,https://link.springer.com/content/pdf/10.1007/s40290-024-00526-x.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Alcohol use disorder"", ""study_title"": ""Endpoints for Pharmacotherapy Trials for Alcohol Use Disorder"", ""study_year"": ""2024""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s40290-024-00526-x.pdf,https://openalex.org/W4400342699,pruned_irrelevant,,,,10.1007/s40290-024-00526-x,Endpoints for Pharmacotherapy Trials for Alcohol Use Disorder,2024
,triage_excluded_irrelevant,R. Hamish McAllister‐Williams; Celso Arango; Pierre Blier; Koen Demyttenaere; Peter Falkai; Philip Gorwood; Malcolm Hopwood; Afzal Javed; Siegfried Kasper; Gin S. Malhi,https://ars.els-cdn.com/content/image/1-s2.0-S0165032719321925-fx1_lrg.jpg,"[{""compound"": ""S-ketamine"", ""entity"": ""Major depressive disorder"", ""study_title"": ""The identification, assessment and management of difficult-to-treat depression: An international consensus statement"", ""study_year"": ""2020""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,hybrid,https://ars.els-cdn.com/content/image/1-s2.0-S0165032719321925-fx1_lrg.jpg,https://openalex.org/W3005398140,pruned_irrelevant,,,,10.1016/j.jad.2020.02.023,"The identification, assessment and management of difficult-to-treat depression: An international consensus statement",2020
,triage_excluded_irrelevant,Salvador M. Guinjoan,https://pmc.ncbi.nlm.nih.gov/articles/PMC10034711/pdf/nihms-1881054.pdf,"[{""compound"": ""S-ketamine"", ""entity"": ""Major depressive disorder"", ""study_title"": ""Personalized definition of surgical targets in major depression and obsessive-compulsive disorder: A potential role for low-intensity focused ultrasound?"", ""study_year"": ""2023""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,green,https://pmc.ncbi.nlm.nih.gov/articles/PMC10034711/pdf/nihms-1881054.pdf,https://openalex.org/W4322806296,pruned_irrelevant,,,,10.1016/j.pmip.2023.100100,Personalized definition of surgical targets in major depression and obsessive-compulsive disorder: A potential role for low-intensity focused ultrasound?,2023
"Abstract Children with single-ventricle disease experience high mortality and complex care. In other life-limiting childhood illnesses, paediatric palliative care may mitigate maternal stress. We hypothesised that early palliative care in the single-ventricle population may have the same benefit for mothers. In this pilot randomised trial of early palliative care, mothers of infants with prenatal single-ventricle diagnoses completed surveys measuring depression, anxiety, coping, and quality of life at a prenatal visit and neonatal discharge. Infants were randomised to receive early palliative care – structured evaluation, psychosocial/spiritual, and communication support before surgery – or standard care. Among 56 eligible mothers, 40 enrolled and completed baseline surveys; 38 neonates were randomised, 18 early palliative care and 20 standard care; and 34 postnatal surveys were completed. Baseline Beck Depression Inventory-II and State-Trait Anxiety Index scores exceeded normal pregnant sample scores (mean 13.76±8.46 versus 7.0±5.0 and 46.34±12.59 versus 29.8±6.35, respectively; p=0.0001); there were no significant differences between study groups. The early palliative care group had a decrease in prenatal to postnatal State-Trait Anxiety Index scores (−7.6 versus 0.3 in standard care, p=0.02), higher postnatal Brief Cope Inventory positive reframing scores (p=0.03), and a positive change in PedsQL Family Impact Module communication and family relationships scores (effect size 0.46 and 0.41, respectively). In conclusion, these data show that mothers of infants with single-ventricle disease experience significant depression and anxiety prenatally. Early palliative care resulted in decreased maternal anxiety, improved maternal positive reframing, and improved communication and family relationships.",triage_excluded_irrelevant,Hayley S. Hancock; Ken Pituch; Karen Uzark; Priya Bhat; Carly G. Fifer; Maria J. Silveira; Sunkyung Yu; Suzanne Welch; Janet E. Donohue; Ray Lowery,https://digitalcommons.wustl.edu/open_access_pubs/6728,"[{""compound"": ""LSD"", ""entity"": ""Anxiety associated with life-threatening disease"", ""study_title"": ""A randomised trial of early palliative care for maternal stress in infants prenatally diagnosed with single-ventricle heart disease"", ""study_year"": ""2018""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,green,https://digitalcommons.wustl.edu/open_access_pubs/6728,https://openalex.org/W2783574971,pruned_irrelevant,,,,10.1017/S1047951117002761,A randomised trial of early palliative care for maternal stress in infants prenatally diagnosed with single-ventricle heart disease,2018
,triage_excluded_irrelevant,Robin Carhart‐Harris; Guy M. Goodwin,https://www.nature.com/articles/npp201784.pdf,"[{""compound"": ""Psilocybin"", ""entity"": ""Treatment-resistant depression"", ""study_title"": ""The Therapeutic Potential of Psychedelic Drugs: Past, Present, and Future"", ""study_year"": ""2017""}]",2026-02-12T04:27:29.741661+00:00,excluded_not_relevant,,true,bronze,https://www.nature.com/articles/npp201784.pdf,https://openalex.org/W2610144880,pruned_irrelevant,,,,10.1038/npp.2017.84,"The Therapeutic Potential of Psychedelic Drugs: Past, Present, and Future",2017
