abstract,action_reason,authors,best_pdf_url,contexts,last_checked_utc,library_status,metadata_lookup_error,open_access_is_oa,open_access_status,open_access_url,openalex_id,pdf_download_status,pdf_local_path,pdf_sha256,pdf_size_bytes,study_doi,study_title,study_year
"Serotonergic hallucinogen-induced changes in HFO and gamma are mediated, at least in part, by stimulation of 5HT2A receptors. Comparison of the oscillatory changes produced by serotonergic hallucinogens and NMDAR antagonists are also discussed.",,Sailaja A. Goda; Joanna Piasecka; Maciej Olszewski; Stefan Kasicki; Mark Jeremy Hunt,https://link.springer.com/content/pdf/10.1007/s00213-013-3057-1.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2C"", ""study_title"": ""Serotonergic hallucinogens differentially modify gamma and high frequency oscillations in the rat nucleus accumbens"", ""study_year"": ""2013""}]",2026-02-12T08:08:11.816075+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-013-3057-1.pdf,https://openalex.org/W1978569191,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-013-3057-1__462a06ce9b.pdf,e22495227e968c3dede2461e9c1e7cb57dbfa0f02a087406cf4140b47e532f07,740531,10.1007/s00213-013-3057-1,Serotonergic hallucinogens differentially modify gamma and high frequency oscillations in the rat nucleus accumbens,2013
"Our results suggest that the use of specific pharmacological agents targeting α2 and β noradrenergic receptors may improve existing treatments for attentional deficits and impulsivity, whereas DA D3 receptors may modulate error monitoring and perseverative behaviour.",,Andrea Bari; Trevor W. Robbins,https://link.springer.com/content/pdf/10.1007/s00213-013-3141-6.pdf,"[{""compound"": ""MDMA"", ""entity"": ""DAT (SLC6A3)"", ""study_title"": ""Noradrenergic versus dopaminergic modulation of impulsivity, attention and monitoring behaviour in rats performing the stop-signal task"", ""study_year"": ""2013""}]",2026-02-12T08:08:15.430502+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-013-3141-6.pdf,https://openalex.org/W2262309309,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-013-3141-6__cbf5830a12.pdf,d7592383f6d98ff10853a0f889b49fe58287421f4175e94cdd805a2d7de99a21,613012,10.1007/s00213-013-3141-6,"Noradrenergic versus dopaminergic modulation of impulsivity, attention and monitoring behaviour in rats performing the stop-signal task",2013
"The present results suggest that the 5-HT6 receptors may play adjunctive roles in antipsychotic drug action, and that the combination of 5-HT2A and 5-HT6 antagonism may represent an important element in the pharmacological profile of antipsychotic drugs.",,Katarzyna Fijał; Piotr Popik; Agnieszka Nikiforuk,https://link.springer.com/content/pdf/10.1007/s00213-013-3234-2.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2A"", ""study_title"": ""Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats"", ""study_year"": ""2013""}]",2026-02-12T08:08:18.337537+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-013-3234-2.pdf,https://openalex.org/W1976613340,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-013-3234-2__0f76c86068.pdf,ab8027968091b2eb0efd003dd0c9521a1268728896e0b4a2281fbfeffd2357df,375944,10.1007/s00213-013-3234-2,"Co-administration of 5-HT6 receptor antagonists with clozapine, risperidone, and a 5-HT2A receptor antagonist: effects on prepulse inhibition in rats",2013
,,Johan Alsiö; Simon Nilsson; François Gastambide; Adele Wang; Sarita Dam; Adam C. Mar; Mark D. Tricklebank; Trevor W. Robbins,https://link.springer.com/content/pdf/10.1007/s00213-015-3963-5.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2C"", ""study_title"": ""The role of 5-HT2C receptors in touchscreen visual reversal learning in the rat: a cross-site study"", ""study_year"": ""2015""}]",2026-02-12T08:08:21.700833+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-015-3963-5.pdf,https://openalex.org/W1847422610,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-015-3963-5__b14e122fe9.pdf,a4c3c8ddd9d52cab205041441392e9bb793bdb4ee426bc6e02101557d1014672,768759,10.1007/s00213-015-3963-5,The role of 5-HT2C receptors in touchscreen visual reversal learning in the rat: a cross-site study,2015
,,Kristoffer Sahlholm; Jürgen W. A. Sijbesma; Bram Maas; Chantal Kwizera; Daniel Marcellino; Nisha K. Ramakrishnan; Rudi Dierckx; Philip H. Elsinga; Aren van Waarde,https://link.springer.com/content/pdf/10.1007/s00213-015-3997-8.pdf,"[{""compound"": ""DMT"", ""entity"": ""Sigma-1 receptor (SIGMAR1)"", ""study_title"": ""Pridopidine selectively occupies sigma-1 rather than dopamine D2 receptors at behaviorally active doses"", ""study_year"": ""2015""}]",2026-02-12T08:08:24.777138+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-015-3997-8.pdf,https://openalex.org/W2106289426,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-015-3997-8__3f4b1fd30a.pdf,26863a87520e17d1f54d2d50745fa57c0d80105553e239758c7409110aada778,1216771,10.1007/s00213-015-3997-8,Pridopidine selectively occupies sigma-1 rather than dopamine D2 receptors at behaviorally active doses,2015
,,Sergi Ferré,https://link.springer.com/content/pdf/10.1007/s00213-016-4212-2.pdf,"[{""compound"": ""MDMA"", ""entity"": ""DAT (SLC6A3)"", ""study_title"": ""Mechanisms of the psychostimulant effects of caffeine: implications for substance use disorders"", ""study_year"": ""2016""}]",2026-02-12T08:08:29.189788+00:00,in_database,,true,bronze,https://link.springer.com/content/pdf/10.1007/s00213-016-4212-2.pdf,https://openalex.org/W2283824784,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-016-4212-2__bd808911e8.pdf,c266252efad82340dd6cbe8a12cbe333bfa24616d60464c5233a248fafe8cecd,760935,10.1007/s00213-016-4212-2,Mechanisms of the psychostimulant effects of caffeine: implications for substance use disorders,2016
,,Min Ma; Qian Ren; Chun Yang; Jichun Zhang; Wei Yao; Chao Dong; Yuta Ohgi; Takashi Futamura; Kenji Hashimoto,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4483-7.pdf,"[{""compound"": ""Ketamine"", ""entity"": ""NMDA receptor"", ""study_title"": ""Antidepressant effects of combination of brexpiprazole and fluoxetine on depression-like behavior and dendritic changes in mice after inflammation"", ""study_year"": ""2016""}]",2026-02-12T08:08:32.650437+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-016-4483-7.pdf,https://openalex.org/W2549935706,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-016-4483-7__423dd9f373.pdf,5051bd7c2f2364a84bd2e191425822ee4b36e5a93ff0d2aa75508bf586ebfe6c,1787696,10.1007/s00213-016-4483-7,Antidepressant effects of combination of brexpiprazole and fluoxetine on depression-like behavior and dendritic changes in mice after inflammation,2016
,,José Palacios; Ángel Pazos; Daniël Hoyer,http://hdl.handle.net/11343/224260,"[{""compound"": ""LSD"", ""entity"": ""5-HT2C"", ""study_title"": ""A short history of the 5-HT2C receptor: from the choroid plexus to depression, obesity and addiction treatment"", ""study_year"": ""2017""}]",2026-02-12T08:08:35.477334+00:00,in_database,,true,green,http://hdl.handle.net/11343/224260,https://openalex.org/W2592469547,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-017-4545-5__fc09890f45.pdf,710477083b1e3a6a29d39ca8f1c810f064895e9ed4ea0582b8dd32adce5ff1c5,1161,10.1007/s00213-017-4545-5,"A short history of the 5-HT2C receptor: from the choroid plexus to depression, obesity and addiction treatment",2017
"No significant difference in driving performance was observed 8 h after administering intranasal esketamine (84 mg) or placebo. In contrast, oral mirtazapine (30 mg) significantly impaired on road driving performance.",,Aurora J.A.E. van de Loo; Adriana C. Bervoets; Loes Mooren; Noor H. Bouwmeester; Johan Garssen; Rob Zuiker; Guido van Amerongen; Joop van Gerven; Jaskaran Singh; Peter van der Ark,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4706-6.pdf,"[{""compound"": ""S-ketamine"", ""entity"": ""NMDA receptor"", ""study_title"": ""The effects of intranasal esketamine (84 mg) and oral mirtazapine (30 mg) on on-road driving performance: a double-blind, placebo-controlled study"", ""study_year"": ""2017""}]",2026-02-12T08:08:39.443420+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-017-4706-6.pdf,https://openalex.org/W2741582082,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-017-4706-6__4a9234e93f.pdf,e4de33ad6177724c67aa3d47c5165db5bb3e2e14ab9643d0640ae20828868b44,993645,10.1007/s00213-017-4706-6,"The effects of intranasal esketamine (84 mg) and oral mirtazapine (30 mg) on on-road driving performance: a double-blind, placebo-controlled study",2017
"In recent years, research has identified the molecular and neural substrates underlying the transition of moderate ""social"" consumption of alcohol to the characteristic alcohol use disorder (AUD) phenotypes including excessive and compulsive alcohol use which we define in the review as the GO signaling pathways. In addition, growing evidence points to the existence of molecular mechanisms that keep alcohol consumption in check and that confer resilience for the development of AUD which we define herein as the STOP signaling pathways. In this review, we focus on examples of the GO and the STOP intracellular signaling pathways and discuss our current knowledge of how manipulations of these pathways may be used for the treatment of AUD.",,Dorit Ron; Anthony L. Berger,https://link.springer.com/content/pdf/10.1007/s00213-018-4882-z.pdf,"[{""compound"": ""Ibogaine"", ""entity"": ""kappa opioid receptor (OPRK1)"", ""study_title"": ""Targeting the intracellular signaling “STOP” and “GO” pathways for the treatment of alcohol use disorders"", ""study_year"": ""2018""}]",2026-02-12T08:08:42.473291+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-018-4882-z.pdf,https://openalex.org/W2796923285,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-018-4882-z__24d0b56e3c.pdf,cd391b846057c5f29aa952d76b09e2e8f6f3dccde7333dcec46a0df18b45f7a2,927324,10.1007/s00213-018-4882-z,Targeting the intracellular signaling “STOP” and “GO” pathways for the treatment of alcohol use disorders,2018
,,M. Lévy; Fabien Boulle; Harry W.M. Steinbusch; Daniël van den Hove; Günter Kenis; Laurence Lanfumey,https://link.springer.com/content/pdf/10.1007/s00213-018-4950-4.pdf,"[{""compound"": ""Ketamine"", ""entity"": ""NMDA receptor"", ""study_title"": ""Neurotrophic factors and neuroplasticity pathways in the pathophysiology and treatment of depression"", ""study_year"": ""2018""}]",2026-02-12T08:08:46.217315+00:00,in_database,,true,bronze,https://link.springer.com/content/pdf/10.1007/s00213-018-4950-4.pdf,https://openalex.org/W2810237733,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-018-4950-4__252cbce2d4.pdf,a8c643afea1e516e502efe2ecfc6b0b12686fca86600ca8134e7f21fea064c4a,1470529,10.1007/s00213-018-4950-4,Neurotrophic factors and neuroplasticity pathways in the pathophysiology and treatment of depression,2018
"Sleep paralysis is a state of involuntary immobility occurring at sleep onset or offset, often accompanied by uncanny ""ghost-like"" hallucinations and extreme fear reactions. I provide here a neuropharmacological account for these hallucinatory experiences by evoking the role of the serotonin 2A receptor (5-HT2AR). Research has shown that 5-HT2AR activation can induce visual hallucinations, ""mystical"" subjective states, out-of-body experiences (OBEs), and modulate fear circuits. Hallucinatory experiences triggered by serotonin-serotonergic (""pseudo"") hallucinations, induced by hallucinogenic drugs-tend to be ""dream-like"" with the experiencer having insight (""meta-awareness"") that he is hallucinating; unlike dopaminergic (""psychotic"" and ""life-like"") hallucinations where such insight is lost. Indeed, hallucinatory experiences during sleep paralysis have the classic features of serotonergic hallucinations, and are strikingly similar to perceptual and subjective states induced by hallucinogenic drugs (e.g., lysergic acid diethylamide [LSD] and psilocybin); i.e., entail visual hallucinations, mystical experiences, OBEs, and extreme fear reactions. I propose a possible mechanism whereby serotonin could be functionally implicated in generating sleep paralysis hallucinations and fear reactions through 5-HT2AR activity. Moreover, I speculate on the role of 5-HT2C receptors vis-à-vis anxiety and panic during sleep paralysis; and the orbitofrontal cortex-rich with 5-HT2A receptors-in influencing visual pathways during sleep paralysis, and, in effect, hallucinations. Finally, I propose, for the first time a drug to target sleep paralysis hallucinations and fear reactions, namely the selective 5-HT2AR inverse agonist, pimavanserin. This account implicates gene HTR2A on chromosome 13q as the underlying cause of sleep paralysis hallucinations and could be explored using Positron Emission Tomography.",,Baland Jalal,https://link.springer.com/content/pdf/10.1007%2Fs00213-018-5042-1.pdf,"[{""compound"": ""Mescaline"", ""entity"": ""5-HT2A"", ""study_title"": ""The neuropharmacology of sleep paralysis hallucinations: serotonin 2A activation and a novel therapeutic drug"", ""study_year"": ""2018""}]",2026-02-12T08:08:48.842066+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007%2Fs00213-018-5042-1.pdf,https://openalex.org/W2894631918,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-018-5042-1__9c13747a7c.pdf,3ce59b9bdf2e6602c230284574c4852f63e6819bff33c5b75d7160bdd8090b6e,467103,10.1007/s00213-018-5042-1,The neuropharmacology of sleep paralysis hallucinations: serotonin 2A activation and a novel therapeutic drug,2018
"While this study provides quantitative support for the cognitive-enhancing properties of microdosing psychedelics, future research has to confirm these preliminary findings in more rigorous placebo-controlled study designs. Based on these preliminary results, we speculate that psychedelics might affect cognitive metacontrol policies by optimizing the balance between cognitive persistence and flexibility. We hope this study will motivate future microdosing studies with more controlled designs to test this hypothesis.",,Luisa Prochazkova; Dominique P. Lippelt; Lorenza S. Colzato; Martin Kuchař; Zsuzsika Sjoerds; Bernhard Hommel,https://link.springer.com/content/pdf/10.1007/s00213-018-5049-7.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2A"", ""study_title"": ""Exploring the effect of microdosing psychedelics on creativity in an open-label natural setting"", ""study_year"": ""2018""}, {""compound"": ""Psilocybin"", ""entity"": ""5-HT2A"", ""study_title"": ""Exploring the effect of microdosing psychedelics on creativity in an open-label natural setting"", ""study_year"": ""2018""}]",2026-02-12T08:08:49.355721+00:00,in_database,,true,hybrid,https://link.springer.com/content/pdf/10.1007/s00213-018-5049-7.pdf,https://openalex.org/W2951080359,already_present,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-018-5049-7__2ba5f7d118.pdf,6793ccf16f12a32103bf72163a7e60d3912120c490a7d4b0f35e194c455057b4,714977,10.1007/s00213-018-5049-7,Exploring the effect of microdosing psychedelics on creativity in an open-label natural setting,2018
,,Adam L. Halberstadt; Landon M. Klein; Muhammad Chatha; Laura B. Valenzuela; Alexander Stratford; Jason Wallach; David E. Nichols; Simon D. Brandt,https://researchonline.ljmu.ac.uk/id/eprint/9459/1/PSPH-D-18-00187R1_accepted_uncorrected.pdf,"[{""compound"": ""LSD"", ""entity"": ""5-HT2A"", ""study_title"": ""Pharmacological characterization of the LSD analog N-ethyl-N-cyclopropyl lysergamide (ECPLA)"", ""study_year"": ""2018""}]",2026-02-12T01:22:25.306775+00:00,in_database,,true,green,https://researchonline.ljmu.ac.uk/id/eprint/9459/1/PSPH-D-18-00187R1_accepted_uncorrected.pdf,https://openalex.org/W2896569934,downloaded,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1007_s00213-018-5055-9__dab0d03240.pdf,898849b8b2abc0daae088524b4fded2671def993f1e4176b61972edf0ac23113,3524903,10.1007/s00213-018-5055-9,Pharmacological characterization of the LSD analog N-ethyl-N-cyclopropyl lysergamide (ECPLA),2018
