normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,mesh_terms,keywords,funders,grant_ids,language,sample_size_total,comparator,intervention_or_exposure,dose,route,session_count_or_duration,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,compound_match_type,entity_match_type,compound_registry_status,entity_registry_status,compound_ids,entity_ids,trial_registry_ids,related_dois,publication_relations,is_retracted,semantic_scholar_id,has_correction
normalized,compound and graph entity matched local registry,S-ketamine,,Treatment-resistant depression,S-ketamine,Treatment-resistant depression,esketamine,,treatment-resistant depression,treatment-resistant depression,"probability of a patient that was a ""non-responder"" to become a ""responder""",outcome_measure,Treatment-resistant depression,indication,True,10.1016/j.rpsm.2020.10.003,The probability of response after each subcutaneous injection of esketamine in treatment-resistant depression,compound_disorder,treatment-resistant depression,not_reported,efficacy,depressive symptoms,positive,response (decrease of at least 50% in the Montgomery-Åsberg Depression Rating Scale),MADRS,patients with TRD (unipolar and bipolar treatment-resistant depression),clinical,Victor Augusto Rodovalho Fava; Luciana Maria Sarin; Ana Cecília Lucchese; Lorena Del Sant; Eduardo Magalhães; Rodrigo Simonini Delfino; Marco Aurélio Tuena; Carolina Nakahira; Andrea Parolin Jackowski; Guilherme Abdo,2020,case_report,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The probability of a patient that was a ""non-responder"" to become a ""responder"" following a SC injection of esketamine was 17.30%",abstract_only,abstract_only,abstract,abstract,retrospective analysis of a case series,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Revista de Psiquiatría y Salud Mental,journal-article,2020-10-16,1888-9891,1989-4600,Elsevier BV,,Análisis de transición latente | Bipolar depression | Depresión bipolar | Depresión resistente al tratamiento | Esketamina | Esketamine | Latent transition analysis | Respuesta al tratamiento | Treatment response | Treatment-resistant depression,,,eng | spa,70 patients,not_reported,esketamine,0.5-1.0mg/kg,subcutaneous (SC),"weekly, throughout four doses",24h after dose,,,,not_reported,low,alias,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,S-ketamine,,Treatment-resistant depression,S-ketamine,Treatment-resistant depression,esketamine,,treatment-resistant depression,treatment-resistant depression,"probability of a patient that was a ""responder"" to remain as a ""responder""",outcome_measure,Treatment-resistant depression,indication,True,10.1016/j.rpsm.2020.10.003,The probability of response after each subcutaneous injection of esketamine in treatment-resistant depression,compound_disorder,treatment-resistant depression,not_reported,efficacy,depressive symptoms,positive,response (decrease of at least 50% in the Montgomery-Åsberg Depression Rating Scale),MADRS,patients with TRD (unipolar and bipolar treatment-resistant depression),clinical,Victor Augusto Rodovalho Fava; Luciana Maria Sarin; Ana Cecília Lucchese; Lorena Del Sant; Eduardo Magalhães; Rodrigo Simonini Delfino; Marco Aurélio Tuena; Carolina Nakahira; Andrea Parolin Jackowski; Guilherme Abdo,2020,case_report,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"The probability of a patient that was a ""responder"" to remain as a ""responder"" was 95%.",abstract_only,abstract_only,abstract,abstract,retrospective analysis of a case series,,,,Projected from extraction_v1; support=supported; confidence=1; needs_human_review=False,Revista de Psiquiatría y Salud Mental,journal-article,2020-10-16,1888-9891,1989-4600,Elsevier BV,,Análisis de transición latente | Bipolar depression | Depresión bipolar | Depresión resistente al tratamiento | Esketamina | Esketamine | Latent transition analysis | Respuesta al tratamiento | Treatment response | Treatment-resistant depression,,,eng | spa,70 patients,not_reported,esketamine,0.5-1.0mg/kg,subcutaneous (SC),"weekly, throughout four doses",24h after dose,,,,not_reported,low,alias,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Depression,Ketamine,Depression,ketamine,,depression,depression,MADRS scores,outcome_measure,Depression,indication,True,10.1017/s1461145711000629,A preliminary naturalistic study of low-dose ketamine for depression and suicide ideation in the emergency department,compound_disorder,depressed emergency department (ED) patients with suicide ideation (SI),not_reported,efficacy,mood,positive,Montgomery-Asberg Depression Rating Scale (MADRS) scores,MADRS,depressed emergency department (ED) patients with suicide ideation (SI),clinical,Gregory Luke Larkin; Annette L. Beautrais,2011,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Mean MADRS scores fell significantly from 40.4 (s.e.m.=1.8) at baseline to 11.5 (s.e.m.=2.2) at 240 min. Median time to MADRS score 
10 was 80 min (interquartile range 0.67-24 h).",abstract_only,abstract_only,abstract,abstract,preliminary naturalistic study,,,,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,The International Journal of Neuropsychopharmacology,journal-article,2011-05-10,1461-1457,1469-5111,Oxford University Press (OUP),"Adult | Antidepressive Agents / administration & dosage | Antidepressive Agents / adverse effects | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Major Depressive Disorder / drug therapy | Dose-Response Relationship, Drug | Drug Administration Schedule | Emergency Medical Services | Hospitals, University | Humans | Injections, Intravenous | Ketamine / administration & dosage | Ketamine / adverse effects | Ketamine / pharmacology | Ketamine / therapeutic use | Male | Middle Aged | Pilot Projects | Psychiatric Status Rating Scales | Suicidal Ideation | Time Factors | Young Adult",,,,eng,14,not_reported,single i.v. bolus of ketamine,0.2 mg/kg,intravenous (i.v.),single dose over 1-2 min,240 min,,,,not_reported,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},NCT09090057,10.1093/ijnp/pyx035,RetractionIn PMID:28637184 Int J Neuropsychopharmacol. 2017 Jul 1;20(7):611. doi: 10.1093/ijnp/pyx035.,true,,
normalized,compound and graph entity matched local registry,Psilocybin,,Alcohol use disorder,Psilocybin,Alcohol use disorder,Psilocybin,,Alcohol use disorder,Alcohol use disorder,reducing alcohol cravings,symptom_or_problem,Alcohol use disorder,indication,True,10.1037/adb0000935,Reports of self-compassion and affect regulation in psilocybin-assisted therapy for alcohol use disorder: An interpretive phenomenological analysis.,compound_disorder,Alcohol use disorder (AUD),not_applicable,therapeutic_effect,Substance Use,positive,alcohol cravings,,"Participants (N = 13) mostly identified as non-Hispanic and White, with approximately equal proportions of cisgender men and women.",clinical,Gabrielle Agin-Liebes; Elizabeth M. Nielson; Michael Zingman; Katherine Kim; Alexandra Haas; Lindsey T. Owens; Ursula Rogers; Michael Bogenschutz,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Our results support the assertion that psilocybin increases the malleability of self-related processing, and diminishes shame-based and self-critical thought patterns while improving affect regulation and reducing alcohol cravings.",abstract_only,abstract_only,abstract,abstract,randomized controlled trial,NIDA NIH HHS | NIH HHS,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Psychology of Addictive Behaviors,journal-article,2023-06-05,0893-164X,1939-1501,American Psychological Association (APA),Female | Humans | Male | Alcoholism / drug therapy | Emotions | Hallucinogens / therapeutic use | Psilocybin / therapeutic use | Self-Compassion | Qualitative Research | Randomized Controlled Trials as Topic,,NIDA NIH HHS | NIH HHS,T32 DA007233 | T32 DA007250,eng,N = 13,not_reported,psilocybin-assisted psychotherapy,not_reported,not_reported,not_reported,not_reported,,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},NCT02061293,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Alcohol use disorder,Psilocybin,Alcohol use disorder,Psilocybin,,Alcohol use disorder,Alcohol use disorder,diminishes shame-based and self-critical thought patterns,symptom_or_problem,Alcohol use disorder,indication,True,10.1037/adb0000935,Reports of self-compassion and affect regulation in psilocybin-assisted therapy for alcohol use disorder: An interpretive phenomenological analysis.,compound_disorder,Alcohol use disorder (AUD),not_applicable,therapeutic_effect,Cognition/Psychological Processes,positive,shame-based and self-critical thought patterns,,"Participants (N = 13) mostly identified as non-Hispanic and White, with approximately equal proportions of cisgender men and women.",clinical,Gabrielle Agin-Liebes; Elizabeth M. Nielson; Michael Zingman; Katherine Kim; Alexandra Haas; Lindsey T. Owens; Ursula Rogers; Michael Bogenschutz,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,1.0,False,"Our results support the assertion that psilocybin increases the malleability of self-related processing, and diminishes shame-based and self-critical thought patterns while improving affect regulation and reducing alcohol cravings.",abstract_only,abstract_only,abstract,abstract,randomized controlled trial,NIDA NIH HHS | NIH HHS,,,Projected from extraction_v1; support=supported; confidence=1.0; needs_human_review=False,Psychology of Addictive Behaviors,journal-article,2023-06-05,0893-164X,1939-1501,American Psychological Association (APA),Female | Humans | Male | Alcoholism / drug therapy | Emotions | Hallucinogens / therapeutic use | Psilocybin / therapeutic use | Self-Compassion | Qualitative Research | Randomized Controlled Trials as Topic,,NIDA NIH HHS | NIH HHS,T32 DA007233 | T32 DA007250,eng,N = 13,not_reported,psilocybin-assisted psychotherapy,not_reported,not_reported,not_reported,not_reported,,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},NCT02061293,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Anxiety,Psilocybin,Anxiety,Psilocybin,,Anxiety,Anxiety,severe anxiety,therapeutic_indication,Anxiety,indication,True,10.46747/cfp.6811823,Psilocybin mushrooms for psychological and existential distress,compound_disorder,"stage IV small cell lung cancer, palliative diagnosis",not_applicable,patient-reported outcome,Mental Health,positive,General Anxiety Disorder-7 questionnaire (GAD-7) scores,GAD-7,54-year-old woman with stage IV small cell lung cancer,clinical,Ryan Patchett-Marble; Sean O’Sullivan; Sayali Tadwalkar; Emma Hapke,2022,case_report,doi,case_report,original_empirical,primary_evidence,uncertain,supported,0.9,False,"A 54-year-old woman from rural northern Ontario with stage IV small cell lung cancer presented with severe anxiety and depression regarding her palliative diagnosis... She completed validated questionnaires (General Anxiety Disorder-7 questionnaire, Patient Health Questionnaire-9, and McGill Quality of Life Questionnaire-Revised) that showed marked improvement in her mood, anxiety, and quality of life, including psychological, existential, and social subscales (Figures 2 and 3 ). These results were sustained at 4 months...",full_text_seen,full_text_seen,text,"C004, F002",case report,,"Dr Emma Hapke is paid for her work as Principal Investigator of a phase 3 study of 3,4-methylenedioxymethamphetamine-assisted psychotherapy for posttraumatic stress disorder (Montréal site), sponsored by the Multidisciplinary Association of Psychedelic Studies, and serves as paid Associate Director of the Nikean Psychedelic Psychotherapy Research Centre, a nonprofit academic research centre based at the University Health Network in Toronto, Ont. Dr Sean O'Sullivan previously served as paid medical director and board member of TheraPsil, a nonprofit advocacy organization whose purpose is to legalize psilocybin therapy for Canadians with terminal diagnoses and other conditions. Dr Hapke previously served as a volunteer board member of TheraPsil, and Dr Ryan Patchett-Marble was previously a volunteer clinical adviser for TheraPsil.",,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Canadian Family Physician,article,2022-11-01,0008-350X,1715-5258,College of Family Physicians Canada,"Agaricales | Humans | Lung Neoplasms | Neoplasms / psychology | Palliative Care / psychology | Psilocybin / therapeutic use | Stress, Psychological / psychology",Psilocybin | The Renaissance | Existentialism | Distress | Medicine | Psychiatry | Hallucinogen | Data science | Psychology | Psychotherapist | Computer science | History | Art history | Political science | Law,,,en,1,not_reported,psilocybin-assisted therapy,5 g of dried psilocybin mushrooms as a tea,oral,1 session,4 months,,,,not_reported,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Depression,Psilocybin,Depression,Psilocybin,,Depression,Depression,depression,therapeutic_indication,Depression,indication,True,10.46747/cfp.6811823,Psilocybin mushrooms for psychological and existential distress,compound_disorder,"stage IV small cell lung cancer, palliative diagnosis",not_applicable,patient-reported outcome,Mental Health,positive,Patient Health Questionnaire-9 (PHQ-9) scores,PHQ-9,54-year-old woman with stage IV small cell lung cancer,clinical,Ryan Patchett-Marble; Sean O’Sullivan; Sayali Tadwalkar; Emma Hapke,2022,case_report,doi,case_report,original_empirical,primary_evidence,uncertain,supported,0.9,False,"A 54-year-old woman from rural northern Ontario with stage IV small cell lung cancer presented with severe anxiety and depression regarding her palliative diagnosis... She completed validated questionnaires (General Anxiety Disorder-7 questionnaire, Patient Health Questionnaire-9, and McGill Quality of Life Questionnaire-Revised) that showed marked improvement in her mood, anxiety, and quality of life, including psychological, existential, and social subscales (Figures 2 and 3 ). These results were sustained at 4 months...",full_text_seen,full_text_seen,text,"C004, F002",case report,,"Dr Emma Hapke is paid for her work as Principal Investigator of a phase 3 study of 3,4-methylenedioxymethamphetamine-assisted psychotherapy for posttraumatic stress disorder (Montréal site), sponsored by the Multidisciplinary Association of Psychedelic Studies, and serves as paid Associate Director of the Nikean Psychedelic Psychotherapy Research Centre, a nonprofit academic research centre based at the University Health Network in Toronto, Ont. Dr Sean O'Sullivan previously served as paid medical director and board member of TheraPsil, a nonprofit advocacy organization whose purpose is to legalize psilocybin therapy for Canadians with terminal diagnoses and other conditions. Dr Hapke previously served as a volunteer board member of TheraPsil, and Dr Ryan Patchett-Marble was previously a volunteer clinical adviser for TheraPsil.",,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Canadian Family Physician,article,2022-11-01,0008-350X,1715-5258,College of Family Physicians Canada,"Agaricales | Humans | Lung Neoplasms | Neoplasms / psychology | Palliative Care / psychology | Psilocybin / therapeutic use | Stress, Psychological / psychology",Psilocybin | The Renaissance | Existentialism | Distress | Medicine | Psychiatry | Hallucinogen | Data science | Psychology | Psychotherapist | Computer science | History | Art history | Political science | Law,,,en,1,not_reported,psilocybin-assisted therapy,5 g of dried psilocybin mushrooms as a tea,oral,1 session,4 months,,,,not_reported,low,label,label,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Distress associated with life-threatening disease,Psilocybin,Distress associated with life-threatening disease,Psilocybin,,Existential distress,Existential distress,existential and psychological distress,therapeutic_indication,Distress associated with life-threatening disease,indication,True,10.46747/cfp.6811823,Psilocybin mushrooms for psychological and existential distress,compound_disorder,"stage IV small cell lung cancer, palliative diagnosis",not_applicable,patient-reported outcome,Quality of Life,positive,McGill Quality of Life Questionnaire-Revised (MQOL-R) existential subscale scores,,54-year-old woman with stage IV small cell lung cancer,clinical,Ryan Patchett-Marble; Sean O’Sullivan; Sayali Tadwalkar; Emma Hapke,2022,case_report,doi,case_report,original_empirical,primary_evidence,uncertain,supported,0.9,False,"She was anxious about her impending death, felt powerless, and questioned the meaning of her life... This experience led to immediate, substantial, and sustained improvements in her distress and quality of life... She completed validated questionnaires (General Anxiety Disorder-7 questionnaire, Patient Health Questionnaire-9, and McGill Quality of Life Questionnaire-Revised) that showed marked improvement in her mood, anxiety, and quality of life, including psychological, existential, and social subscales (Figures 2 and 3 ). These results were sustained at 4 months...",full_text_seen,full_text_seen,text,"C004, F003",case report,,"Dr Emma Hapke is paid for her work as Principal Investigator of a phase 3 study of 3,4-methylenedioxymethamphetamine-assisted psychotherapy for posttraumatic stress disorder (Montréal site), sponsored by the Multidisciplinary Association of Psychedelic Studies, and serves as paid Associate Director of the Nikean Psychedelic Psychotherapy Research Centre, a nonprofit academic research centre based at the University Health Network in Toronto, Ont. Dr Sean O'Sullivan previously served as paid medical director and board member of TheraPsil, a nonprofit advocacy organization whose purpose is to legalize psilocybin therapy for Canadians with terminal diagnoses and other conditions. Dr Hapke previously served as a volunteer board member of TheraPsil, and Dr Ryan Patchett-Marble was previously a volunteer clinical adviser for TheraPsil.",,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Canadian Family Physician,article,2022-11-01,0008-350X,1715-5258,College of Family Physicians Canada,"Agaricales | Humans | Lung Neoplasms | Neoplasms / psychology | Palliative Care / psychology | Psilocybin / therapeutic use | Stress, Psychological / psychology",Psilocybin | The Renaissance | Existentialism | Distress | Medicine | Psychiatry | Hallucinogen | Data science | Psychology | Psychotherapist | Computer science | History | Art history | Political science | Law,,,en,1,not_reported,psilocybin-assisted therapy,5 g of dried psilocybin mushrooms as a tea,oral,1 session,4 months,,,,not_reported,low,label,alias,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Psilocybin,,Treatment-resistant depression,Psilocybin,Treatment-resistant depression,Psilocybin (COMP360),,Treatment-resistant depression,Treatment-resistant depression,efficacy of COMP360 psilocybin therapy for TRD patients (at a 25 mg dose),therapeutic_indication,Treatment-resistant depression,indication,True,10.1007/s00213-023-06432-5,Psilocybin therapy for treatment resistant depression: prediction of clinical outcome by natural language processing,compound_disorder,not_reported,not_applicable,Therapeutic effect,Mental Health,positive,"MADRS score change, reduction in depressive symptoms, durable response",MADRS,"TRD patients, 233 adults with TRD",clinical,Robert F. Dougherty; Patrick Clarke; Merve Atli; Joanna Kuc; Danielle Schlosser; Boadie W. Dunlop; David J. Hellerstein; Scott T. Aaronson; Sidney Zisook; Allan H. Young,2023,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"A recent randomized double-blind phase-IIb study demonstrated the safety and efficacy of COMP360, COMPASS Pathways' proprietary synthetic formulation of psilocybin, in participants with treatment-resistant depression. ... More recently, the efficacy of COMP360 psilocybin therapy for TRD patients (at a 25 mg dose), was demonstrated in the first adequately powered multi-site, randomized, double-blind phase IIb study (Goodwin et al. 2022). MADRS score change at week 3 was the primary outcome of the study though a large reduction in depressive symptoms was evident on the day following psilocybin dosing and a subsequent durable response was observed in 20% of the 25 mg group at week 12. ... COMP001 was a phase IIb, international multicenter randomized, double-blind study of COMP360, which randomized 233 adults with TRD in 1:1:1 ratio to a single fixed-dose (25 mg, 10 mg, or 1 mg) of COMP360",full_text_seen,full_text_seen,text,"C001, C002, C003","multi-site, randomized, double-blind phase IIb study",,,,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2023-08-22,0033-3158,1432-2072,Springer Science and Business Media LLC,"Adult | Female | Humans | Male | Middle Aged | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / psychology | Double-Blind Method | Hallucinogens / therapeutic use | Hallucinogens / administration & dosage | Machine Learning | Natural Language Processing | Psilocybin / therapeutic use | Psilocybin / administration & dosage | Treatment Outcome",AI | Depression | Emotional breakthrough index | Machine learning | Natural language processing | Psilocybin,,,eng,233,"10 mg, 1 mg (doses of COMP360)",COMP360 psilocybin therapy,25 mg,not_reported,single fixed-dose,"week 3 (primary outcome), week 12 (durable response)",,,,not_reported,high,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},NCT03775200,,,,,
normalized,compound and graph entity matched local registry,DOI,,Opioid use disorder,DOI,Opioid use disorder,DOI,,Opioid Use Disorder,Opioid Use Disorder,heroin motivation,outcome_measure,Opioid use disorder,indication,True,10.1016/j.neuropharm.2024.110163,The psychedelic drug DOI reduces heroin motivation by targeting 5-HT2A receptors in a heroin and alcohol co-use model,compound_disorder,heroin and alcohol co-use model,not_reported,motivation for drug,substance use behavior,positive,heroin break point,,male and female rats with intravenous heroin and oral alcohol self-administration history,preclinical,Joel Bonilla; Giuseppe Giannotti; Nathaniel P. Kregar; Jasper A. Heinsbroek; David E. Olson; Jamie Peters,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"DOI (0.4 mg/kg) administered prior to testing significantly reduced heroin motivation measured as the animals' break point, or maximum effort the animal is willing to expend to obtain a single infusion of heroin.",full_text_seen,full_text_seen,abstract,Abstract,preclinical animal study,,,,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Neuropharmacology,journal-article,2024-09-26,0028-3908,1873-7064,Elsevier BV,"Animals | Motivation / drug effects | Male | Female | Heroin / administration & dosage | Receptor, Serotonin, 5-HT2A / metabolism | Receptor, Serotonin, 5-HT2A / drug effects | Self Administration | Hallucinogens / pharmacology | Hallucinogens / administration & dosage | Rats | Amphetamines / pharmacology | Amphetamines / administration & dosage | Serotonin 5-HT2 Receptor Antagonists / pharmacology | Ethanol / administration & dosage | Ethanol / pharmacology | Disease Models, Animal | Piperidines / pharmacology | Fluorobenzenes / pharmacology | Heroin Dependence / drug therapy | Heroin Dependence / psychology | Aminopyridines | Indoles",5-HT2A | 5-HT2C | Alcohol | DOI | Heroin | Polydrug use,NIH HHS | NIDA NIH HHS,DP5 OD026407 | R01 DA056365 | R01 DA045836 | R01 DA056660 | K99 DA048974 | R01 DA058951,eng,not_reported,vehicle,DOI,0.4 mg/kg,intraperitoneal,over weeks of behavioral training,prior to testing,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},,,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Treatment-resistant depression,Ketamine,Treatment-resistant depression,ketamine,,treatment-resistant depression,Treatment-resistant depression,rapid antidepressant effect,therapeutic_indication,Treatment-resistant depression,indication,True,10.1038/s41386-019-0480-y,Maintenance of antidepressant and antisuicidal effects by D-cycloserine among patients with treatment-resistant depression who responded to low-dose ketamine infusion: a double-blind randomized placebo–control study,compound_disorder,not_applicable,not_applicable,therapeutic_effect,Mood,positive,antidepressant effect (HAMD scores),HAM-D,patients with treatment-resistant major depression and bipolar depression,clinical,Mu-Hong Chen; Chih-Ming Cheng; Ralitza Gueorguieva; Wei-Chen Lin; Cheng-Ta Li; Chen-Jee Hong; Pei-Chi Tu; Ya-Mei Bai; Shih-Jen Tsai; John H. Krystal,2019,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,"Increasing evidence supports a rapid antidepressant and antisuicidal effect of a single subanesthetic dose of ketamine infusion for treatment-resistant depression (TRD). ... The mixed model analyses demonstrated that the repeated ketamine infusions were effective for treatment-resistant major depression (F(1,65) = 17.58, p < 0.001) and bipolar depression (F(1,27) = 10.24, p = 0.003) (Fig. 2 ).",full_text_seen,full_text_seen,abstract,"Abstract, C005",open-label study,"Ministry of Science and Technology, Taiwan (101-2314-B-010-060, 102-2314-B-010-060, 107-2314-B-075-063-MY3, and 108-2314-B-075-037), Taipei Veterans General Hospital (V106B-020, V107B-010, and V107C-181), and the Kun-Po Soo Medical Foundation. Dr. Krystal was supported by the National Center for PTSD of the U.S. Department of Veterans Affairs.","Dr Krystal acknowledges the following relevant financial interests: He is a co-sponsor of a patent for the intranasal administration of ketamine for the treatment of depression and suicide that was licensed by Janssen Pharmaceuticals, the maker of S-ketamine. He has a patent related to the use of riluzole to treat anxiety disorders that was licensed by Biohaven Medical Sciences. He has stock or stock options in Biohaven Medical Sciences, ARett Pharmaceuticals, Blackthorn Therapeutics, Luc Therapeutics, and Storm Pharmaceuticals. He consults broadly to the pharmaceutical industry, but his annual income over the past year did not exceed 5000 for any organization. He receives over 5000 in income from the Society of Biological Psychiatry for editing the journal Biological Psychiatry. The other author declared no conflict of interest.",,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Neuropsychopharmacology,journal-article,2019-08-17,0893-133X,1740-634X,Springer Science and Business Media LLC,"Adult | Antidepressive Agents / therapeutic use | Bipolar Disorder / drug therapy | Cycloserine / analogs & derivatives | Cycloserine / therapeutic use | Major Depressive Disorder / drug therapy | Depressive Disorder, Treatment-Resistant / drug therapy | Double-Blind Method | Female | Humans | Ketamine / therapeutic use | Male | Middle Aged | Treatment Outcome | Suicide Prevention",,NCRR NIH HHS | NIAAA NIH HHS | NCATS NIH HHS,M01 RR000125 | P50 AA012870 | UL1 RR024139 | UL1 TR001863,eng,49 (Phase 1),not_applicable,ketamine infusion,0.5 mg/kg,intravenous,two infusions,day 1 to day 7,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},UMIN Clinical Trials Registry (R000027142-UMIN000023581),,,,,
normalized,compound and graph entity matched local registry,Ketamine,,Suicidal ideation,Ketamine,Suicidal ideation,ketamine,,suicidal ideation,Suicidal ideation,rapid antisuicidal effect,therapeutic_indication,Suicidal ideation,indication,True,10.1038/s41386-019-0480-y,Maintenance of antidepressant and antisuicidal effects by D-cycloserine among patients with treatment-resistant depression who responded to low-dose ketamine infusion: a double-blind randomized placebo–control study,compound_disorder,treatment-resistant depression,not_applicable,therapeutic_effect,Suicidality,positive,antisuicidal effect,,patients with treatment-resistant depression,clinical,Mu-Hong Chen; Chih-Ming Cheng; Ralitza Gueorguieva; Wei-Chen Lin; Cheng-Ta Li; Chen-Jee Hong; Pei-Chi Tu; Ya-Mei Bai; Shih-Jen Tsai; John H. Krystal,2019,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,Increasing evidence supports a rapid antidepressant and antisuicidal effect of a single subanesthetic dose of ketamine infusion for treatment-resistant depression (TRD).,full_text_seen,full_text_seen,abstract,Abstract,open-label study,"Ministry of Science and Technology, Taiwan (101-2314-B-010-060, 102-2314-B-010-060, 107-2314-B-075-063-MY3, and 108-2314-B-075-037), Taipei Veterans General Hospital (V106B-020, V107B-010, and V107C-181), and the Kun-Po Soo Medical Foundation. Dr. Krystal was supported by the National Center for PTSD of the U.S. Department of Veterans Affairs.","Dr Krystal acknowledges the following relevant financial interests: He is a co-sponsor of a patent for the intranasal administration of ketamine for the treatment of depression and suicide that was licensed by Janssen Pharmaceuticals, the maker of S-ketamine. He has a patent related to the use of riluzole to treat anxiety disorders that was licensed by Biohaven Medical Sciences. He has stock or stock options in Biohaven Medical Sciences, ARett Pharmaceuticals, Blackthorn Therapeutics, Luc Therapeutics, and Storm Pharmaceuticals. He consults broadly to the pharmaceutical industry, but his annual income over the past year did not exceed 5000 for any organization. He receives over 5000 in income from the Society of Biological Psychiatry for editing the journal Biological Psychiatry. The other author declared no conflict of interest.",,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Neuropsychopharmacology,journal-article,2019-08-17,0893-133X,1740-634X,Springer Science and Business Media LLC,"Adult | Antidepressive Agents / therapeutic use | Bipolar Disorder / drug therapy | Cycloserine / analogs & derivatives | Cycloserine / therapeutic use | Major Depressive Disorder / drug therapy | Depressive Disorder, Treatment-Resistant / drug therapy | Double-Blind Method | Female | Humans | Ketamine / therapeutic use | Male | Middle Aged | Treatment Outcome | Suicide Prevention",,NCRR NIH HHS | NIAAA NIH HHS | NCATS NIH HHS,M01 RR000125 | P50 AA012870 | UL1 RR024139 | UL1 TR001863,eng,not_reported,not_applicable,ketamine infusion,single subanesthetic dose,intravenous,single infusion,not_reported,,,,not_reported,low,label,label,needs_external_id_lookup,needs_external_id_lookup,{},{},UMIN Clinical Trials Registry (R000027142-UMIN000023581),,,,,
