normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,outcome_type,outcome_domain,result_direction,outcome_measure,outcome_measure_normalized,population,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,source_access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,publisher,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,language,mesh_terms,keywords,trial_registry_ids,funders,grant_ids,related_dois,publication_relations,has_correction,semantic_scholar_id
normalized,compound and graph entity matched local registry,psilocybin,,anxiety,Psilocybin,Anxiety,,,,,anxiety,therapeutic_indication,anxiety,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Anxiety,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,label,psilocybin,anxiety,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Anxiety,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,depression,Psilocybin,Depression,,,,,depression,therapeutic_indication,depression,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Depression,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,label,psilocybin,depression,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Depression,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,post-traumatic stress disorder,Psilocybin,Post-traumatic stress disorder,,,,,post-traumatic stress disorder,therapeutic_indication,post-traumatic stress disorder,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ PTSD,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,label,psilocybin,post-traumatic stress disorder,needs_external_id_lookup,needs_external_id_lookup,{},{},Post-traumatic stress disorder,1.0,,,,,,,,,,
entity_unmapped,graph entity `pain management` did not match registry,psilocybin,,pain management,Psilocybin,,,,,,pain management,therapeutic_indication,pain management,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Pain Management,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,,psilocybin,pain management,needs_external_id_lookup,,{},{},cocaine dependence,0.4242,,,,,,,,,,
normalized,compound and graph entity matched local registry,psilocybin,,cluster headaches,Psilocybin,Cluster headache,,,,,cluster headaches,therapeutic_indication,cluster headaches,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Psilocybin ✔ Cluster Headaches,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,fuzzy_high_confidence,psilocybin,cluster headaches,needs_external_id_lookup,needs_external_id_lookup,{},{},Cluster headache,0.9697,,,,,,,,,,
entity_unmapped,graph entity `addiction` did not match registry,"N,N-dimethyltryptamine",,addiction,DMT,,,,,,addiction,therapeutic_indication,addiction,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... DMT ✔ Addiction,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,alias,,"N,N-dimethyltryptamine",addiction,needs_external_id_lookup,,{},{},opioid addiction,0.72,,,,,,,,,,
normalized,compound and graph entity matched local registry,"N,N-dimethyltryptamine",,anxiety,DMT,Anxiety,,,,,anxiety,therapeutic_indication,anxiety,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... DMT ✔ Anxiety,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,alias,label,"N,N-dimethyltryptamine",anxiety,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Anxiety,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,"N,N-dimethyltryptamine",,depression,DMT,Depression,,,,,depression,therapeutic_indication,depression,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... DMT ✔ Depression,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,alias,label,"N,N-dimethyltryptamine",depression,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Depression,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,"N,N-dimethyltryptamine",,post-traumatic stress disorder,DMT,Post-traumatic stress disorder,,,,,post-traumatic stress disorder,therapeutic_indication,post-traumatic stress disorder,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... DMT ✔ PTSD,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,alias,label,"N,N-dimethyltryptamine",post-traumatic stress disorder,needs_external_id_lookup,needs_external_id_lookup,{},{},Post-traumatic stress disorder,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,mescaline,,anxiety,Mescaline,Anxiety,,,,,anxiety,therapeutic_indication,anxiety,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Mescaline ✔ Anxiety,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,label,mescaline,anxiety,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Anxiety,1.0,,,,,,,,,,
normalized,compound and graph entity matched local registry,mescaline,,depression,Mescaline,Depression,,,,,depression,therapeutic_indication,depression,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... Mescaline ✔ Depression,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,label,label,mescaline,depression,needs_external_id_lookup,broad_category_needs_external_id_lookup,{},{},Depression,1.0,,,,,,,,,,
entity_unmapped,graph entity `addiction` did not match registry,lysergic acid diethylamide,,addiction,LSD,,,,,,addiction,therapeutic_indication,addiction,indication,True,10.59324/ejahss.2024.1(3).10,From Venerable Cultural Practices to Modern Psychological Solutions: Enter Entheogens into Mainstream Medicine,compound_disorder,,,secondary literature coverage,,unclear,,,,unknown,Nicholas A. Kerna; Kevin D. Pruitt; N.D. Victor Carsrud; Kyle Kadivi; Dabeluchi C. Ngwu; Hilary M. Holets; John V. Flores; Ijeoma Nnake; Cornelius I. Azi; Joseph Anderson II,2024,review,doi,review,evidence_synthesis,secondary_literature,uncertain,uncertain,0.9,False,Table 3 . Overview of the Clinical Applications of Each Entheogen ... LSD ✔ Addiction,secondary_summary,full_text_seen,table,Table 3,secondary_literature,,,,"Projected from extraction_v1 coverage_mentions; coverage_type=reviews; relationship is discussed in secondary literature, not treated as primary evidence","European Journal of Arts, Humanities and Social Sciences",journal-article,2024-05-01,3041-1262,3041-1262,AMO Publisher,low,disorder,disorders,alias,,lysergic acid diethylamide,addiction,needs_external_id_lookup,,{},{},opioid addiction,0.72,,,,,,,,,,
