normalization_status,normalization_notes,compound,target,disorder,canonical_compound,canonical_entity,compound_original,target_original,disorder_original,graph_entity_original,raw_entity_label,entity_role,graph_entity_label,graph_entity_type,graph_include_candidate,study_doi,study_title,claim_type,clinical_context_condition,graph_exclusion_reason,mechanism_type,assay_type,assay_family,action_type,affinity_type,affinity_value,affinity_unit,result_direction,species,model_or_system,system,authors,study_year,paper_type,source,source_type,source_family,paper_assessment_route,evidence_strength,support,confidence,needs_human_review,supporting_quote,access_level,evidence_location,evidence_locator,study_design,funding,conflicts_of_interest,risk_of_bias_summary,notes,study_journal,publication_type,publication_date,journal_issn,journal_eissn,mesh_terms,keywords,language,sample_size_total,sample_size_by_arm,comparator,intervention_or_exposure,dose,route,session_count_or_duration,primary_outcome,outcome_measure,timepoint,effect_size,p_value,confidence_interval,adverse_events,evidence_level,normalization_dataset,normalization_entity_category,compound_match_type,entity_match_type,compound_match_value,entity_match_value,compound_registry_status,entity_registry_status,compound_ids,entity_ids,entity_candidate_label,entity_candidate_score,publisher,trial_registry_ids,funders,grant_ids,related_dois,publication_relations,semantic_scholar_id
compound_unmapped,compound `5-MeO-MiPT` did not match registry,5-MeO-MiPT,CYP2D6,,,,,,,,cytochrome P450 2D6 (CYP2D6),molecular_target,CYP2D6,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate and inhibitor,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate and inhibitor,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,The three compounds were predicted to be both substrates and inhibitors for cytochrome P450 2D6 (CYP2D6). ... Table 7: CYP 2D6 Inh Yes (70%) Subs Yes (87%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,,5-MeO-MiPT,CYP2D6,,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
compound_unmapped,compound `5-MeO-MiPT` did not match registry,5-MeO-MiPT,CYP2B6,,,,,,,,cytochrome P450 2B6 (CYP2B6),molecular_target,CYP2B6,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate and inhibitor,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate and inhibitor,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,5-MeO-MiPT was predicted to be... a substrate for cytochromes P450 2A6 (CYP2A6) and 2B6 (CYP2B6). ... Table 7: CYP 2B6 Inh -Yes (64%) Subs -Yes (77%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,,5-MeO-MiPT,CYP2B6,,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
compound_unmapped,compound `5-MeO-MiPT` did not match registry,5-MeO-MiPT,CYP2A6,,,,,,,,cytochrome P450 2A6 (CYP2A6),molecular_target,CYP2A6,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate and inhibitor,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate and inhibitor,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,5-MeO-MiPT was predicted to be... a substrate for cytochromes P450 2A6 (CYP2A6) and 2B6 (CYP2B6). ... Table 7: CYP 2A6 Inh -Yes (40%) Subs Yes (66%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,,5-MeO-MiPT,CYP2A6,,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
compound_unmapped,compound `5-MeO-MiPT` did not match registry,5-MeO-MiPT,CYP2E1,,,,,,,,cytochrome P450 2E1 (CYP2E1),molecular_target,CYP2E1,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.7,True,The compound is not expected to be a substrate for cytochrome P450 2E1 (CYP2E1). ... Table 7: CYP2E1 Inh Subs -No (73%) -Yes (66%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.7; needs_human_review=True,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,,5-MeO-MiPT,CYP2E1,,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
compound_unmapped,compound `5-MeO-MiPT` did not match registry,5-MeO-MiPT,CYP3A4,,,,,,,,cytochrome P450 3A4 (CYP3A4),molecular_target,CYP3A4,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,not inhibitor or substrate,in silico ADMET prediction (artificial neural network ensemble models),metabolism,not inhibitor or substrate,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,None of the compounds was predicted to be inhibitor or substrate for cytochrome P450 3A4 (CYP3A4). ... Table 7: CYP 3A4 Inh No (90%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,,,5-MeO-MiPT,CYP3A4,,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP1A2` did not match registry,5-MeO-DIPT,CYP1A2,,5-MeO-DiPT,,,,,,cytochrome P450 1A2 (CYP1A2),molecular_target,CYP1A2,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.7,True,Cytochrome risk code of high clearance by cytochrome P450 1A2 (CYP1A2) was predicted for both compounds [5-MeO-MiPT and 5-MeO-DIPT] (Table 3). ... Table 7: CYP 1A2 Inh No (97%) Subs No (84%),full_text_seen,mixed,"C019, Table 3, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.7; needs_human_review=True,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,5-MeO-DIPT,CYP1A2,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP2D6` did not match registry,5-MeO-DIPT,CYP2D6,,5-MeO-DiPT,,,,,,cytochrome P450 2D6 (CYP2D6),molecular_target,CYP2D6,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate and inhibitor,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate and inhibitor,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,The three compounds were predicted to be both substrates and inhibitors for cytochrome P450 2D6 (CYP2D6). ... Table 7: CYP 2D6 Inh Yes (70%) Subs Yes (87%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,5-MeO-DIPT,CYP2D6,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP2B6` did not match registry,5-MeO-DIPT,CYP2B6,,5-MeO-DiPT,,,,,,cytochrome P450 2B6 (CYP2B6),molecular_target,CYP2B6,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,inhibitor,in silico ADMET prediction (artificial neural network ensemble models),metabolism,inhibitor,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.7,True,5-MeO-DIPT is predicted to be... a substrate for CYP2B6 and CYP2E1. ... Table 7: CYP 2B6 Inh -Yes (77%) Subs -No (56%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.7; needs_human_review=True,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,5-MeO-DIPT,CYP2B6,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP2E1` did not match registry,5-MeO-DIPT,CYP2E1,,5-MeO-DiPT,,,,,,cytochrome P450 2E1 (CYP2E1),molecular_target,CYP2E1,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,5-MeO-DIPT is predicted to be... a substrate for CYP2B6 and CYP2E1. ... Table 7: CYP2E1 Inh Subs -No (73%) -Yes (66%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,5-MeO-DIPT,CYP2E1,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP2C9` did not match registry,5-MeO-DIPT,CYP2C9,,5-MeO-DiPT,,,,,,cytochrome P450 2C9 (CYP2C9),molecular_target,CYP2C9,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,5-MeO-DIPT is predicted to be a substrate but not inhibitor for CYP1A2 and CYP2C9. ... Table 7: CYP 2C9 Inh No (99%) Subs Yes (91%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,5-MeO-DIPT,CYP2C9,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP2A6` did not match registry,5-MeO-DIPT,CYP2A6,,5-MeO-DiPT,,,,,,cytochrome P450 2A6 (CYP2A6),molecular_target,CYP2A6,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.7,True,while it is not predicted to be a substrate for CYP2A6. ... Table 7: CYP 2A6 Inh -No (70%) Subs Yes (50%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.7; needs_human_review=True,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,5-MeO-DIPT,CYP2A6,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP3A4` did not match registry,5-MeO-DIPT,CYP3A4,,5-MeO-DiPT,,,,,,cytochrome P450 3A4 (CYP3A4),molecular_target,CYP3A4,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,not inhibitor or substrate,in silico ADMET prediction (artificial neural network ensemble models),metabolism,not inhibitor or substrate,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,None of the compounds was predicted to be inhibitor or substrate for cytochrome P450 3A4 (CYP3A4). ... Table 7: CYP 3A4 Inh No (90%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,5-MeO-DIPT,CYP3A4,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
entity_unmapped,graph entity `CYP2D6` did not match registry,DMT,CYP2D6,,DMT,,,,,,cytochrome P450 2D6 (CYP2D6),molecular_target,CYP2D6,target,True,10.1007/s00213-024-06526-8,"Pharmaco-toxicological effects of the novel tryptamine hallucinogen 5-MeO-MiPT on motor, sensorimotor, physiological, and cardiorespiratory parameters in mice—from a human poisoning case to the preclinical evidence",compound_target,not_applicable,not_reported,substrate and inhibitor,in silico ADMET prediction (artificial neural network ensemble models),metabolism,substrate and inhibitor,Other,,,not_applicable,human,ADMET Predictor®,in_vitro,Marta Bassi; Sabrine Bilel; Micaela Tirri; Giorgia Corli; Fabiana Di Rosa; Adolfo Gregori; Alaaldin M. Alkilany; Ousama Rachid; Elisa Roda; Giorgio Zauli,2024,primary_results,doi,primary_study,original_empirical,primary_evidence,uncertain,supported,0.9,False,The three compounds were predicted to be both substrates and inhibitors for cytochrome P450 2D6 (CYP2D6). ... Table 7: CYP 2D6 Inh Yes (55%) Subs Yes (87%),full_text_seen,mixed,"C019, Table 7",in silico ADMET prediction,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",not_reported,not_reported,Projected from extraction_v1; support=supported; confidence=0.9; needs_human_review=False,Psychopharmacology,journal-article,2024-01-12,0033-3158,1432-2072,Humans | Mice | Male | Animals | Hallucinogens / toxicity | Tryptamines / toxicity | 5-Methoxytryptamine / analogs & derivatives,5-MeO-MiPT | ADMET prediction | Behaviour | Cardiorespiratory changes | Human intoxication | Prepulse inhibition | Serotoninergic hallucinogens,eng,,,,,,,,,,,,,,,medium,mechanistic,targets,label,,DMT,CYP2D6,needs_external_id_lookup,,{},{},,0.0,Springer Science and Business Media LLC,,"Anti-Drug Policies Department, Presidency of the Council of Ministers, Italy | Università degli Studi di Ferrara",Effects of NPS: development of a multicentre research for the information enhancement of the Early Warning System | Implementation of the identification | study of the effects of NPS: Development of a multicentric research to strengthen the database of the National Monitoring Centre for Drug Addiction | the Early Warning System | FAR 2021 | FAR 2022,,,
