study_doi,notes,study_title,evidence_location,study_year,source,source_type,evidence_locator,authors,access_level,disorder,compound,openalex_id,evidence_level,study_design,system,population,outcome_type,outcome_measure,paper_type,result_direction,demoted_from,cleanup_bucket,recommended_action,cleanup_issues,original_row_index,demoted_at
10.7759/cureus.53987,Auto-generated stub from DOI queue; Full-text PDF autofill for disorder fields,Exploring Esketamine's Therapeutic Outcomes as an FDA-Designated Breakthrough for Treatment-Resistant Depression and Major Depressive Disorder With Suicidal Intent: A Narrative Review,table,2024,doi,primary_study,Metadata/title snippet: Exploring Esketamine's Therapeutic Outcomes as an FDA-Designated Breakthrough for Treatment-Resistant Depression and Major Depressive Disorder With Su,Suneeta Kumari; Hassan A Chaudhry; Adam J. Sagot; Stacy Doumas; Hussain Muhammad Abdullah; Eric Alcera; Ramon Solhkhah; Saba Afzal,full_text_seen,Major depressive disorder,S-ketamine,,low,preclinical_study,preclinical,adolescents with major depressive disorder,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak,53,2026-03-12T15:16:48.883038+00:00
10.3389/fpsyt.2024.1346697,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Hype or hope? High placebo response in major depression treatment with ketamine and esketamine: a systematic review and meta-analysis,mixed,2024,doi,primary_study,Abstract snippet: Background Ketamine and esketamine offer a novel approach in the pharmacological treatment of major depressive disorder (MDD). This meta-analysis aimed to investigate the,Alexandros Matsingos; Marcel Wilhelm; Laila Noor; Cüneyt Yildiz; Winfried Rief; Stefan G. Hofmann; Irina Falkenberg; Tilo Kircher,full_text_seen,Major depressive disorder,S-ketamine,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,54,2026-03-12T15:16:48.883038+00:00
10.1016/j.jpsychires.2024.11.010,Auto-generated stub from DOI queue,Intranasal esketamine for patients with major depressive disorder: A systematic review and meta-analysis,unknown,2024,doi,primary_study,Metadata/title snippet: Intranasal esketamine for patients with major depressive disorder: A systematic review and meta-analysis,Soroush Oraee; Mohammadreza Alinejadfard; Hossein Golsorkh; Majid Sadeghian; Maryam Fanaei; Rosella Centis; Lia D’Ambrosio; Giovanni Sotgiu; Hossein Goudarzi; Giovanni Battista Migliori,secondary_summary,Major depressive disorder,S-ketamine,,low,pending_curation,clinical,adults with major depressive disorder,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; secondary_summary,55,2026-03-12T15:16:48.883038+00:00
10.1080/02791072.2024.2424272,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Masking Influences: A Systematic Review of Placebo Control and Masking in Psychedelic Studies,abstract,2024,doi,primary_study,"Abstract snippet: Psychedelic-assisted therapy is becoming increasingly acknowledged as an effective therapeutic intervention for various psychiatric illnesses. However, the evaluation of",Aleksandra Barstowe; Petri Kajonius,abstract_only,Alcohol use disorder,Psilocybin,,low,pending_curation,clinical,adults with alcohol use disorder,reduces heavy drinking outcomes,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; abstract_only,56,2026-03-12T15:16:48.883038+00:00
10.1080/09540261.2024.2357668,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Narrative review of the potential for psychedelics to treat Prolonged Grief Disorder,abstract,2024,doi,primary_study,"Abstract snippet: Prolonged Grief Disorder (PGD) is distinct from yet related to non-pathologic grief, depression, addiction, and Post-Traumatic Stress Disorder (PTSD) with a prevalence of",Rebecca Ehrenkranz; Manish Agrawal; J. Kim Penberthy; David B. Yaden,abstract_only,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,preclinical,,reduces PTSD severity,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,58,2026-03-12T15:16:48.883038+00:00
10.21203/rs.3.rs-3829237/v1,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,"Psilocybin-Assisted Therapy for Severe Alcohol Use Disorder: Protocol for a Double-Blind, Randomized, Placebo-Controlled, 7-month Parallel-Group Phase II Superiority Trial",table,2024,doi,primary_study,"Abstract snippet: Abstract Background: A significant number of individuals with alcohol use disorder remain unresponsive to currently available treatments, which calls for the development",Laetitia Vanderijst; Felix Hever; Anne Buot; Charles Dauré; Janaïna Benoit; Catherine Hanak; Johannes Veeser; Margot Morgiève; Salvatore Campanella; Charles Kornreich,full_text_seen,Alcohol use disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with alcohol use disorder,reduces heavy drinking outcomes,Percent heavy drinking days,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,63,2026-03-12T15:16:48.883038+00:00
10.1186/s12888-024-05502-y,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,"Psilocybin-assisted therapy for severe alcohol use disorder: protocol for a double-blind, randomized, placebo-controlled, 7-month parallel-group phase II superiority trial",table,2024,doi,primary_study,"Abstract snippet: Abstract Background A significant number of individuals with alcohol use disorder remain unresponsive to currently available treatments, which calls for the development o",Laetitia Vanderijst; Felix Hever; Anne Buot; Charles Dauré; Janaïna Benoit; Catherine Hanak; Johannes Veeser; Margot Morgiève; Salvatore Campanella; Charles Kornreich,full_text_seen,Alcohol use disorder,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with alcohol use disorder,reduces heavy drinking outcomes,Percent heavy drinking days,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,65,2026-03-12T15:16:48.883038+00:00
10.1111/acps.13778,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Randomized Controlled Trials of Psilocybin‐Assisted Therapy in the Treatment of Major Depressive Disorder: Systematic Review and Meta‐Analysis,abstract,2024,doi,primary_study,"Abstract snippet: ABSTRACT Introduction There is growing interest in the use of psychedelic‐assisted therapy (PAT) for major depressive disorder (MDD), including treatment‐resistant depres",Vikas Menon; Parthasarathy Ramamurthy; Sandesh Venu; Chittaranjan Andrade,abstract_only,Treatment-resistant depression,Psilocybin,,high,randomized_controlled_trial,preclinical,,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,68,2026-03-12T15:16:48.883038+00:00
10.3390/psychoactives3040029,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"Rapid and Prolonged Antidepressant and Antianxiety Effects of Psychedelics and 3,4-Methylenedioxy-methamphetamine—A Systematic Review and Meta-Analysis",abstract,2024,doi,primary_study,"Abstract snippet: Background: There is ongoing research into the potential use of psychedelics and 3,4-methylenedioxy-methamphetamine (MDMA) as alternatives to commonly used medications fo",Dimy Fluyau; Vasanth Kattalai Kailasam; Neelambika Revadigar,abstract_only,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,clinical,adults with post-traumatic stress disorder,reduces PTSD severity,STAI,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,69,2026-03-12T15:16:48.883038+00:00
10.1016/j.jad.2024.03.165,Auto-generated stub from DOI queue,"Spectral signatures of psilocybin, lysergic acid diethylamide (LSD) and ketamine in healthy volunteers and persons with major depressive disorder and treatment-resistant depression: A systematic review",unknown,2024,doi,primary_study,"Metadata/title snippet: Spectral signatures of psilocybin, lysergic acid diethylamide (LSD) and ketamine in healthy volunteers and persons with major depressive disorder and",Gia Han Le; Sabrina Wong; Sebastian Badulescu; Hezekiah C.T. Au; Joshua D. Di Vincenzo; Hartej Gill; Lee Phan; Taeho Greg Rhee; Roger Ho; Kayla M. Teopiz,secondary_summary,Treatment-resistant depression,Psilocybin,,low,pending_curation,unknown,,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; secondary_summary,71,2026-03-12T15:16:48.883038+00:00
10.1176/appi.pn.2023.09.9.20,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,"Australia Legalizes Psychedelics for Use in Depression, PTSD Therapy",abstract,2023,doi,primary_study,"Abstract snippet: Back to table of contents Previous article Next article Clinical & ResearchFull AccessAustralia Legalizes Psychedelics for Use in Depression, PTSD TherapyNick ZagorskiNic",Nick Zagorski,abstract_only,Treatment-resistant depression,Psilocybin,,high,randomized_controlled_trial,preclinical,adults with treatment-resistant depression,reduces depressive symptoms,,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,80,2026-03-12T15:16:48.883038+00:00
10.1111/bcp.15841,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Bayesian analysis of real‐world data as evidence for drug approval: Remembering Sir Michael Rawlins,abstract,2023,doi,primary_study,"Abstract snippet: The two pillars of modern medical research are where in most randomized controlled trials (RCTs), the active treatment is compared with placebo. A recent expert consensus",Balázs Szigeti; Lawrence D. Phillips; David Nutt,abstract_only,Treatment-resistant depression,Psilocybin,,high,randomized_controlled_trial,preclinical,adolescents with treatment-resistant depression,reduces depressive symptoms,MADRS,protocol,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is protocol; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,81,2026-03-12T15:16:48.883038+00:00
10.1016/j.brs.2023.06.003,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Comparing fast-acting interventions for treatment-resistant depression: An explorative study of accelerated HF-rTMS versus intranasal esketamine,abstract,2023,doi,primary_study,Metadata/title snippet: Comparing fast-acting interventions for treatment-resistant depression: An explorative study of accelerated HF-rTMS versus intranasal esketamine,Mauro Pettorruso; Giacomo d’Andrea; Francesco Di Carlo; Luisa De Risio; Francesca Zoratto; Andrea Miuli; Beatrice Benatti; Matteo Vismara; Enrico Pompili; Giuseppe Nicolò,abstract_only,Major depressive disorder,S-ketamine,,low,preclinical_study,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,conference_or_poster_abstract,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is conference/poster; source_type says primary_study but paper_type is weak; abstract_only,83,2026-03-12T15:16:48.883038+00:00
10.1007/s11136-023-03451-9,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Effects of esketamine on patient-reported outcomes in major depressive disorder with active suicidal ideation and intent: a pooled analysis of two randomized phase 3 trials (ASPIRE I and ASPIRE II),table,2023,doi,primary_study,Abstract snippet: Abstract Purpose To assess the effect of esketamine nasal spray on patient-reported outcomes (PROs) in patients with major depressive disorder having active suicidal idea,Carol Jamieson; Carla M. Canuso; Dawn F. Ionescu; Rosanne Lane; Xin Qiu; Heather Rozjabek; Patricio Molero; Dong‐Jing Fu,full_text_seen,Major depressive disorder,S-ketamine,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,86,2026-03-12T15:16:48.883038+00:00
10.3892/etm.2023.11810,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,Esketamine for treatment‑resistant depression: A review of clinical evidence (Review),mixed,2023,doi,primary_study,"Abstract snippet: Treatment-resistant depression (TRD) is a challenge for psychiatrists, even after more than seven decades since the first antidepressants were used in clinical practice.",Octavian Vasiliu,full_text_seen,Major depressive disorder,S-ketamine,,low,preclinical_study,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,88,2026-03-12T15:16:48.883038+00:00
10.3389/fpsyt.2023.1250980,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,ICEBERG study: an indirect adjusted comparison estimating the long-term benefit of esketamine nasal spray when compared with routine treatment of treatment resistant depression in general psychiatry,mixed,2023,doi,primary_study,"Abstract snippet: Background Treatment resistant depression (TRD) affects 10–30% of patients with major depressive disorder. In 4-week trials, esketamine nasal spray (NS) was efficacious v",Albino J. Oliveira‐Maia; Joachim Morrens; Benoît Rive; Yordan Godinov; Jedelyn Cabrieto; Nolen Joy Perualila; S. Barbreau; Siobhán Mulhern-Haughey,full_text_seen,Major depressive disorder,S-ketamine,,medium,open_label_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,MADRS,conference_or_poster_abstract,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is conference/poster; source_type says primary_study but paper_type is weak; full_text_seen still points to abstract snippet,91,2026-03-12T15:16:48.883038+00:00
10.1101/2023.08.17.23293955,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for disorder fields,"MDMA Assisted Psychotherapy Decreases PTSD Symptoms, Dissociation, Functional Disability, and Depression: A Systematic Review and Meta-Analysis",mixed,2023,doi,primary_study,"Abstract snippet: Abstract Post-Traumatic Stress Disorder (PTSD) causes broad impairments affecting quality of life. However, despite current treatment many people with PTSD do not fully r",W. M. Green; Sanket B. Raut; Florida James; David M. Benedek; Robert J. Ursano; Luke R. Johnson,full_text_seen,Post-traumatic stress disorder,MDMA,,high,randomized_controlled_trial,clinical,adults with post-traumatic stress disorder,reduces PTSD severity,BDI,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; full_text_seen still points to abstract snippet,93,2026-03-12T15:16:48.883038+00:00
10.1080/15622975.2023.2169349,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata,Oral ketamine for depression: An updated systematic review,abstract,2023,doi,primary_study,Abstract snippet: <b>Objectives:</b> Ketamine is a glutamate N-methyl-D-aspartate receptor antagonist that can be used to treat major depressive disorder by single or repeated infusions. H,Shakila Meshkat; Sipan Haikazian; Joshua D. Di Vincenzo; Farhan Fancy; Danica E. Johnson; David Chen‐Li; Roger S. McIntyre; Rodrigo B. Mansur; Joshua D. Rosenblat,abstract_only,Major depressive disorder,S-ketamine,,high,randomized_controlled_trial,preclinical,adults with major depressive disorder,reduces depressive symptoms,,review,unclear,disorder,auto_demote,demote_from_main_kg,paper_type is review; source_type says primary_study but paper_type is weak; high evidence attached to weak paper_type; abstract_only,101,2026-03-12T15:16:48.883038+00:00
